filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,method
64,3,32,0.5,0.0005,32,647.3673706054688,ACO
64,3,32,0.4,0.001,64,649.8706665039062,ACO
128,4,32,0.1,0.01,64,29.002248764038086,ACO
128,2,32,0.4,0.0001,64,998.7506103515625,ACO
128,2,96,0.5,0.0005,64,477.9411315917969,ACO
128,5,128,0.2,0.01,32,27.80200958251953,ACO
32,2,128,0.1,0.01,48,27.82634162902832,ACO
128,5,64,0.4,0.001,32,32.64915084838867,ACO
64,2,64,0.2,0.001,32,30.477224349975586,ACO
128,4,64,0.1,0.0001,48,817.0868530273438,ACO
32,4,128,0.2,0.0001,64,774.9398193359375,ACO
96,5,64,0.1,0.001,48,244.76585388183594,ACO
96,4,96,0.2,0.0001,48,829.8150024414062,ACO
128,2,128,0.1,0.0001,48,700.1464233398438,ACO
128,2,32,0.5,0.001,64,668.3020629882812,ACO
32,5,128,0.2,0.0005,64,595.994873046875,ACO
128,4,96,0.2,0.0001,48,823.5494995117188,ACO
96,3,64,0.2,0.0005,64,595.4920654296875,ACO
16,5,128,0.3,0.005,64,26.755563735961914,ACO
96,3,96,0.4,0.0005,48,370.0942687988281,ACO
128,2,32,0.5,0.0001,64,991.0389404296875,ACO
64,5,128,0.3,0.001,48,28.318525314331055,ACO
32,2,32,0.5,0.001,16,27.094932556152344,ACO
128,4,128,0.3,0.0001,64,908.0494995117188,ACO
16,4,96,0.2,0.005,16,26.81667709350586,ACO
64,3,128,0.1,0.0005,64,367.37298583984375,ACO
128,5,128,0.4,0.005,48,27.2127685546875,ACO
96,3,128,0.5,0.01,32,27.67607307434082,ACO
16,3,32,0.5,0.01,64,27.425514221191406,ACO
128,3,128,0.1,0.0005,32,106.90751647949219,ACO
32,3,96,0.4,0.005,48,26.91752052307129,ACO
64,3,64,0.5,0.01,48,27.078359603881836,ACO
32,5,32,0.5,0.0001,48,971.5438232421875,ACO
128,2,128,0.5,0.0005,16,26.91393280029297,ACO
128,4,32,0.2,0.001,64,553.1107177734375,ACO
16,3,128,0.2,0.01,64,27.966032028198242,ACO
16,5,128,0.5,0.01,16,25.939741134643555,ACO
16,5,128,0.2,0.0001,64,912.6785278320312,ACO
16,5,96,0.1,0.0001,48,900.3812866210938,ACO
64,2,64,0.1,0.001,16,27.62641716003418,ACO
128,4,128,0.2,0.0005,32,127.19712829589844,ACO
128,4,128,0.1,0.0001,64,886.0553588867188,ACO
32,4,128,0.5,0.01,32,26.770788192749023,ACO
128,2,128,0.3,0.005,48,27.24211883544922,ACO
32,2,64,0.3,0.0005,16,323.48016357421875,ACO
64,3,64,0.3,0.001,16,27.461973190307617,ACO
128,2,128,0.1,0.005,32,27.877059936523438,ACO
128,5,64,0.1,0.005,64,28.28877830505371,ACO
128,4,32,0.4,0.0005,48,905.0595092773438,ACO
64,2,32,0.2,0.0001,16,948.086669921875,ACO
64,4,96,0.4,0.01,64,27.904577255249023,ACO
32,4,64,0.1,0.0001,32,839.7670288085938,ACO
128,3,128,0.5,0.005,48,27.80855941772461,ACO
128,2,128,0.5,0.0001,16,773.2566528320312,ACO
128,3,64,0.3,0.0005,64,565.7453002929688,ACO
128,2,128,0.4,0.005,48,27.766223907470703,ACO
16,4,64,0.2,0.01,64,28.264171600341797,ACO
96,4,96,0.3,0.0001,16,667.6400146484375,ACO
128,3,64,0.4,0.0005,48,639.1394653320312,ACO
32,2,128,0.5,0.005,32,27.538259506225586,ACO
64,2,64,0.3,0.005,48,27.857099533081055,ACO
128,3,64,0.2,0.005,16,27.863758087158203,ACO
16,5,128,0.2,0.005,32,27.319965362548828,ACO
32,2,96,0.5,0.005,64,27.57499122619629,ACO
32,2,64,0.4,0.005,32,26.446277618408203,ACO
128,2,64,0.3,0.001,16,27.824214935302734,ACO
32,3,128,0.3,0.0005,32,146.54864501953125,ACO
32,2,128,0.4,0.001,48,26.573083877563477,ACO
64,2,32,0.4,0.0005,48,833.1356811523438,ACO
