dataset,iteration,ant,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,1,1,32,5,96,0.3,0.01,16,1.6078109741210938,0.21796875,0.04359375,0.2,0.07158434894162925,4,ACO
Haaglanden,1,2,16,3,32,0.4,0.005,48,1.4368335008621216,0.353125,0.267588823926613,0.35473294934196153,0.22230003313266233,4,ACO
Haaglanden,1,3,64,2,128,0.5,0.0001,16,1.4737364053726196,0.3515625,0.2923319383964037,0.3531732659698017,0.2204165577888378,4,ACO
Haaglanden,1,4,96,2,96,0.3,0.005,16,1.3084441423416138,0.43515625,0.4084228585137408,0.43008379230420146,0.4059597882911432,4,ACO
Haaglanden,1,5,96,5,32,0.5,0.01,64,1.4882097244262695,0.32734375,0.34204667283090506,0.3321421866558053,0.3051234550065903,4,ACO
Haaglanden,1,6,32,4,128,0.1,0.01,16,1.6096290349960327,0.196875,0.039375,0.2,0.06579634464751957,4,ACO
Haaglanden,1,7,16,3,32,0.3,0.001,32,1.3617322444915771,0.42578125,0.37461416676734727,0.424367032132816,0.3543308050415718,4,ACO
Haaglanden,1,8,16,3,32,0.3,0.001,16,1.2252476215362549,0.484375,0.4532041855242902,0.48191469706720114,0.4508427355073333,4,ACO
Haaglanden,1,9,128,5,64,0.1,0.005,64,1.9555847644805908,0.27578125,0.39216395528895515,0.2729991493403066,0.19678129825059848,4,ACO
Haaglanden,1,10,32,4,96,0.2,0.001,64,1.5731467008590698,0.346875,0.35108359921037796,0.34933537331554154,0.22968706330361188,3,ACO
Haaglanden,2,1,32,2,32,0.2,0.005,16,1.338595986366272,0.40703125,0.3681564283260001,0.4059570853106688,0.3389782079479137,4,ACO
Haaglanden,2,2,64,4,128,0.4,0.001,32,1.247488260269165,0.45625,0.3894805477040778,0.4543977076109623,0.3817693985899817,4,ACO
Haaglanden,2,3,96,5,128,0.1,0.01,48,1.3351781368255615,0.4140625,0.4428466237472449,0.4265386722949168,0.39814388171629106,4,ACO
Haaglanden,2,4,32,2,128,0.3,0.0001,16,1.302767038345337,0.428125,0.4201530661728734,0.42969572039359905,0.36897749682546305,4,ACO
Haaglanden,2,5,96,5,96,0.4,0.005,64,1.61386239528656,0.3390625,0.43459424130366103,0.3367914553367045,0.28422209514746266,4,ACO
Haaglanden,2,6,16,4,128,0.1,0.0001,48,1.4964210987091064,0.38203125,0.3293067498247453,0.3801927875983355,0.3269649866767738,4,ACO
Haaglanden,2,7,64,2,128,0.2,0.001,16,1.2138910293579102,0.4765625,0.4540153812284527,0.47019290462619195,0.43584913775437945,4,ACO
Haaglanden,2,8,16,3,96,0.2,0.005,32,1.3941702842712402,0.384375,0.24967598642332717,0.38008173264982603,0.2877727261466043,4,ACO
Haaglanden,2,9,32,2,32,0.5,0.001,16,1.3444023132324219,0.4109375,0.3647249976887185,0.4134029681387533,0.3520855462841278,4,ACO
Haaglanden,2,10,96,2,32,0.1,0.01,32,1.3672205209732056,0.39765625,0.3723242826943031,0.39171391495854907,0.34925057110150226,4,ACO
Haaglanden,3,1,32,5,96,0.2,0.0001,16,1.2847340106964111,0.45078125,0.4336000348950252,0.452706431080976,0.37353644765025207,4,ACO
Haaglanden,3,2,16,5,128,0.1,0.001,16,1.2274774312973022,0.4671875,0.43349344375760757,0.46497489151185645,0.4220289487884405,4,ACO
Haaglanden,3,3,32,5,128,0.5,0.01,16,1.6081864833831787,0.2109375,0.0421875,0.2,0.0696774193548387,4,ACO
Haaglanden,3,4,128,4,32,0.4,0.01,16,1.4813255071640015,0.3125,0.31756132607659415,0.3146910564206912,0.22499418164302964,4,ACO
Haaglanden,3,5,16,5,128,0.5,0.01,48,1.6085411310195923,0.21796875,0.0436278342455043,0.2,0.07163029525032091,3,ACO
Haaglanden,3,6,32,5,32,0.2,0.001,16,1.16819429397583,0.5046875,0.4568745966745048,0.5027132249788205,0.4484289475839301,4,ACO
Haaglanden,3,7,96,5,128,0.3,0.005,32,1.2692632675170898,0.43046875,0.4184728096920217,0.43977523077058656,0.4100320515926404,4,ACO
Haaglanden,3,8,128,5,128,0.4,0.01,16,1.379429578781128,0.38046875,0.3017538510986465,0.37884814524578553,0.30262184330719455,4,ACO
Haaglanden,3,9,32,4,96,0.5,0.005,16,1.3185129165649414,0.38671875,0.3294126726871062,0.38638685701068026,0.282177959503328,4,ACO
Haaglanden,3,10,96,4,128,0.2,0.005,32,1.289254069328308,0.40859375,0.4248469694422289,0.4042437852868378,0.3625905487231296,4,ACO
Haaglanden,4,1,128,5,128,0.2,0.005,16,1.2732017040252686,0.465625,0.4376011611413889,0.4675492171688983,0.4257171260186198,4,ACO
Haaglanden,4,2,128,5,32,0.5,0.005,16,1.2677879333496094,0.4359375,0.3764851575438944,0.4374112910450303,0.3521864456286364,4,ACO
Haaglanden,4,3,16,5,128,0.1,0.001,16,1.151404857635498,0.50078125,0.4608346287003539,0.4964918503829009,0.44291908865993584,4,ACO
Haaglanden,4,4,32,5,128,0.2,0.01,16,1.2854015827178955,0.43828125,0.3218655696657569,0.43827702076729314,0.34726417153978456,4,ACO
Haaglanden,4,5,32,5,128,0.5,0.01,32,1.5251435041427612,0.3,0.2837418646679898,0.3016486302867626,0.21576180649304783,3,ACO
Haaglanden,4,6,16,5,128,0.2,0.0001,32,1.2966457605361938,0.409375,0.3426404992726823,0.4088748493154166,0.3041367324102578,4,ACO
Haaglanden,4,7,128,2,32,0.3,0.005,32,1.3226639032363892,0.41328125,0.3988472618008088,0.41097229345754516,0.39001047602251193,4,ACO
Haaglanden,4,8,128,2,128,0.1,0.01,64,2.079521894454956,0.21015625,0.09596553235793742,0.20892302871466922,0.09402890971824275,4,ACO
