dataset,iteration,ant,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,1,1,32,2,64,0.1,0.0001,48,1.2397630214691162,0.46015625,0.43256936311313215,0.4400880119817071,0.3901293042150628,4,ACO
Sleep-EDF,1,2,32,5,128,0.1,0.0005,64,1.4143040180206299,0.34765625,0.36634818228366617,0.3240131048569476,0.25795988691720745,3,ACO
Sleep-EDF,1,3,128,4,128,0.5,0.005,16,1.0315402746200562,0.54140625,0.4933684555657892,0.5265443600115127,0.492252979459182,4,ACO
Sleep-EDF,1,4,64,3,96,0.1,0.005,48,1.162762999534607,0.4859375,0.49574792293919306,0.46500290069412475,0.44927541001312815,4,ACO
Sleep-EDF,1,5,96,3,32,0.3,0.005,48,1.0090843439102173,0.58125,0.5864611173678453,0.5640638047384895,0.5242599809567114,4,ACO
Sleep-EDF,1,6,128,2,64,0.5,0.005,64,1.4888265132904053,0.39140625,0.44244034008351385,0.39316035052648163,0.3643496718157788,4,ACO
Sleep-EDF,1,7,64,2,96,0.1,0.0005,32,0.923453152179718,0.6015625,0.6176668082835548,0.5883696383107804,0.5696166080036938,4,ACO
Sleep-EDF,1,8,32,5,96,0.5,0.005,16,1.1271741390228271,0.51015625,0.5058595240101236,0.490366494494194,0.4503886447676093,3,ACO
Sleep-EDF,1,9,128,2,128,0.2,0.0001,32,1.0484617948532104,0.553125,0.5228952226552781,0.5401711401864884,0.5090014548779529,4,ACO
Sleep-EDF,1,10,32,2,32,0.3,0.005,48,1.2689297199249268,0.45859375,0.5488484415817898,0.4636162346101068,0.46311239795005443,4,ACO
Sleep-EDF,2,1,32,5,128,0.5,0.001,48,1.2094131708145142,0.4671875,0.4516793269333503,0.4464604504454005,0.4072269592302146,4,ACO
Sleep-EDF,2,2,64,2,128,0.1,0.0001,32,0.9592894315719604,0.57578125,0.5708763652748512,0.5634506718142501,0.5461278773397182,4,ACO
Sleep-EDF,2,3,32,3,96,0.5,0.005,48,0.9851698875427246,0.56484375,0.5884766130667856,0.5523924844780773,0.5381159934834611,4,ACO
Sleep-EDF,2,4,128,2,96,0.5,0.005,16,1.1506131887435913,0.5328125,0.529690244921281,0.5233031809550589,0.5083892009621965,4,ACO
Sleep-EDF,2,5,128,4,32,0.2,0.0005,16,0.8752638101577759,0.62734375,0.6162810350624224,0.6172732593349896,0.6137075476704366,4,ACO
Sleep-EDF,2,6,32,5,32,0.4,0.0005,64,1.543238878250122,0.3,0.28415841584158413,0.2749807786398267,0.18740595611285266,4,ACO
Sleep-EDF,2,7,128,5,96,0.5,0.0005,16,0.9322444200515747,0.60546875,0.5767940360906408,0.5924174010528935,0.5711624860735613,4,ACO
Sleep-EDF,2,8,96,2,32,0.5,0.0005,16,1.139708161354065,0.50703125,0.4433996265172736,0.4880849761370557,0.4369502204865686,4,ACO
Sleep-EDF,2,9,16,2,96,0.1,0.005,64,1.0839935541152954,0.5703125,0.5609561396029044,0.5562124920991758,0.5200075112955773,4,ACO
Sleep-EDF,2,10,96,2,32,0.3,0.01,48,1.0889396667480469,0.54765625,0.4981947049918317,0.5264867581370049,0.4905616125323638,4,ACO
Sleep-EDF,3,1,32,5,128,0.1,0.0005,16,0.9088927507400513,0.6,0.5728597490068321,0.5862186393147346,0.5708162732684887,4,ACO
Sleep-EDF,3,2,16,5,96,0.5,0.0005,16,1.2022154331207275,0.4984375,0.4586247792249482,0.4784132177053492,0.41737833578830746,4,ACO
Sleep-EDF,3,3,16,5,96,0.5,0.0001,64,1.4078257083892822,0.3890625,0.4084500362228075,0.3660505912063142,0.26493064811643036,4,ACO
Sleep-EDF,3,4,128,4,128,0.1,0.0005,48,1.3264211416244507,0.4453125,0.47998416194813964,0.42734117382756587,0.39435527766091033,4,ACO
Sleep-EDF,3,5,96,3,128,0.3,0.001,16,0.9213837385177612,0.58203125,0.5800059050883369,0.5730384127801288,0.5502985071747262,4,ACO
Sleep-EDF,3,6,32,2,96,0.1,0.0005,48,1.0038431882858276,0.55703125,0.5399779476293907,0.5509840172771336,0.5266237346073598,4,ACO
Sleep-EDF,3,7,32,5,96,0.3,0.005,48,1.148137092590332,0.46171875,0.437983455589515,0.47066190793401985,0.4195381502767172,4,ACO
Sleep-EDF,3,8,128,5,32,0.1,0.0005,16,0.8555892705917358,0.6484375,0.6447083136750392,0.638190471732521,0.637549735424812,4,ACO
Sleep-EDF,3,9,32,2,128,0.3,0.005,32,1.0798981189727783,0.5265625,0.5669503497711108,0.5126590122731918,0.4589902413710316,4,ACO
Sleep-EDF,3,10,96,2,64,0.1,0.0001,48,1.274743676185608,0.4546875,0.4141752934818628,0.4368751928802583,0.3626664940597451,4,ACO
Sleep-EDF,4,1,128,3,96,0.1,0.005,16,1.0469560623168945,0.540625,0.5422430586497877,0.5197518369893159,0.4751345073961195,4,ACO
Sleep-EDF,4,2,96,5,32,0.1,0.001,16,0.8850580453872681,0.63359375,0.6406053780616332,0.6207278773754213,0.6060324913164665,4,ACO
Sleep-EDF,4,3,128,4,64,0.5,0.01,16,1.204306960105896,0.4921875,0.3689001682451464,0.4701457270594232,0.38454235776712375,4,ACO
Sleep-EDF,4,4,96,4,96,0.5,0.005,16,1.003532886505127,0.59375,0.6833956618646769,0.575602569308517,0.5252227569052502,4,ACO
Sleep-EDF,4,5,64,2,96,0.3,0.005,64,1.1745550632476807,0.54140625,0.46480778588807786,0.5220024467375182,0.42325467020246715,4,ACO
Sleep-EDF,4,6,96,2,96,0.1,0.005,16,1.0196549892425537,0.5671875,0.5322550790797322,0.5525582830090926,0.5206818680372038,4,ACO
Sleep-EDF,4,7,16,3,32,0.1,0.001,64,1.1293575763702393,0.51875,0.48324218840422184,0.49651682391593255,0.4562988530688357,4,ACO
Sleep-EDF,4,8,64,2,96,0.5,0.005,16,1.3530281782150269,0.45078125,0.40928830503729285,0.4319767236559331,0.37970841893589713,4,ACO
Sleep-EDF,4,9,16,5,96,0.3,0.0005,32,1.1564027070999146,0.53359375,0.5163073778515276,0.5146432490665583,0.4818157011106994,4,ACO
Sleep-EDF,4,10,96,5,96,0.5,0.0005,48,1.6418170928955078,0.228125,0.05842600918082438,0.20155642023346304,0.07841776450729988,3,ACO
Sleep-EDF,5,1,16,2,32,0.4,0.005,48,1.091400384902954,0.54375,0.5670198988248448,0.5317962246508046,0.49851087307984354,4,ACO
Sleep-EDF,5,2,128,2,96,0.5,0.0005,16,0.9526640176773071,0.6015625,0.5872902211943308,0.587541244225237,0.5692945193424308,4,ACO
Sleep-EDF,5,3,16,2,128,0.5,0.0001,48,1.3505715131759644,0.4078125,0.34201275809971465,0.38520966018076297,0.2612850853082226,4,ACO
Sleep-EDF,5,4,16,5,96,0.1,0.005,48,0.944442629814148,0.615625,0.589935397553333,0.601947634000284,0.5846731651404145,4,ACO
Sleep-EDF,5,5,128,2,32,0.1,0.001,16,0.9814578294754028,0.57578125,0.5727970159480266,0.5695145225034948,0.5685792383430617,4,ACO
Sleep-EDF,5,6,32,5,96,0.1,0.005,64,1.0266854763031006,0.5640625,0.5652346733975739,0.5555537128832552,0.5429198635563789,4,ACO
Sleep-EDF,5,7,32,4,96,0.3,0.0005,64,1.3979545831680298,0.40859375,0.3659377778938314,0.38712240596095154,0.323502845331053,4,ACO
Sleep-EDF,5,8,16,5,128,0.5,0.005,16,1.0769253969192505,0.53046875,0.5418381700386286,0.5193708376425034,0.4956270643409722,4,ACO
Sleep-EDF,5,9,128,3,128,0.5,0.005,16,1.0510245561599731,0.5625,0.5436440522637797,0.5487435697410673,0.5343524726846248,4,ACO
Sleep-EDF,5,10,128,5,96,0.5,0.0005,64,1.5327774286270142,0.34296875,0.2950139720699644,0.32596877216746856,0.2796368758146925,4,ACO
Sleep-EDF,6,1,96,5,32,0.2,0.005,16,1.1772210597991943,0.5140625,0.500178675365641,0.5009142649699766,0.4430690764559585,4,ACO
Sleep-EDF,6,2,96,5,32,0.5,0.005,16,1.1351526975631714,0.503125,0.48854269715620857,0.49491954506166086,0.47853378544924385,4,ACO
Sleep-EDF,6,3,128,3,96,0.3,0.001,16,0.9002493023872375,0.61328125,0.5941080449645184,0.5984631312063678,0.5821569578078309,4,ACO
Sleep-EDF,6,4,96,4,96,0.5,0.0001,16,1.2217216491699219,0.46796875,0.42272691493153725,0.449783773783191,0.37039132264093555,4,ACO
Sleep-EDF,6,5,32,5,128,0.1,0.0005,64,1.4939806461334229,0.38359375,0.4016355154144449,0.3620101967214657,0.29768553282541654,4,ACO
Sleep-EDF,6,6,96,5,128,0.1,0.0005,16,0.8249526023864746,0.6484375,0.65573287316369,0.6395686486643781,0.6442514851572756,4,ACO
Sleep-EDF,6,7,32,2,32,0.3,0.005,48,1.1965374946594238,0.50234375,0.4913990642313172,0.48320817526363397,0.4697052123640645,4,ACO
Sleep-EDF,6,8,128,2,32,0.5,0.0001,16,1.3997942209243774,0.428125,0.3905816447725486,0.412302117639243,0.36228177540021095,4,ACO
Sleep-EDF,6,9,128,5,128,0.1,0.005,32,0.9923574328422546,0.5828125,0.5693251251570937,0.5709080255827852,0.5555869780938899,4,ACO
Sleep-EDF,6,10,128,3,128,0.1,0.005,48,1.150587558746338,0.4609375,0.5558814141722049,0.4672303778060778,0.4477372612987576,4,ACO
Sleep-EDF,7,1,128,5,128,0.2,0.001,16,0.8783367872238159,0.6171875,0.6047445583654747,0.6071396283403994,0.597694848912008,4,ACO
Sleep-EDF,7,2,128,5,32,0.1,0.0001,16,0.9558113217353821,0.603125,0.581683120217616,0.5902692155531183,0.582207467616911,4,ACO
Sleep-EDF,7,3,32,5,128,0.3,0.005,48,1.1301637887954712,0.5109375,0.5694144370789335,0.502415330702825,0.49082212181376744,4,ACO
Sleep-EDF,7,4,96,4,96,0.1,0.005,16,1.0320037603378296,0.58515625,0.5532219764124866,0.5712627501127072,0.5530230747056978,4,ACO
Sleep-EDF,7,5,32,4,96,0.2,0.005,16,1.0083673000335693,0.534375,0.4906507031380859,0.5233816603943999,0.48291668236585616,4,ACO
Sleep-EDF,7,6,128,3,96,0.3,0.005,16,1.112097978591919,0.51328125,0.4850135158610641,0.4988424115148324,0.47049598841773904,4,ACO
Sleep-EDF,7,7,32,5,32,0.3,0.005,16,1.0916640758514404,0.49921875,0.4303412083266488,0.48859178907472656,0.42301387349579517,4,ACO
Sleep-EDF,7,8,32,2,64,0.1,0.0005,16,0.888266384601593,0.625,0.5939034286643374,0.6095938916314402,0.596638750684132,4,ACO
Sleep-EDF,7,9,96,2,96,0.3,0.0005,48,1.1710695028305054,0.50234375,0.4720089981348366,0.4837052254576671,0.4547030199558786,4,ACO
Sleep-EDF,7,10,64,5,128,0.1,0.0005,16,0.8036245107650757,0.6546875,0.6532924144229778,0.6425501943267579,0.6390686373598038,4,ACO
Sleep-EDF,8,1,32,2,128,0.1,0.0001,64,1.4855470657348633,0.3609375,0.3482308622179817,0.33708087869021786,0.24903390199685208,4,ACO
Sleep-EDF,8,2,128,4,96,0.1,0.0005,16,0.8239396810531616,0.66328125,0.6619074590970414,0.6527837542084882,0.6526985714131994,4,ACO
Sleep-EDF,8,3,128,5,128,0.3,0.01,48,1.0550321340560913,0.5609375,0.5302124212754642,0.5465316873243908,0.5233102848067214,4,ACO
Sleep-EDF,8,4,96,5,128,0.3,0.0005,16,0.7921844720840454,0.66640625,0.6663012026396331,0.6548590778913688,0.6548909606035964,4,ACO
Sleep-EDF,8,5,32,2,96,0.5,0.005,16,1.07773756980896,0.5375,0.5030351792637092,0.5203004952662444,0.4795222632539102,4,ACO
Sleep-EDF,8,6,32,2,96,0.5,0.005,16,1.2529335021972656,0.4609375,0.42143053593559704,0.4411882710347547,0.37307870466619103,3,ACO
Sleep-EDF,8,7,128,5,32,0.3,0.0005,16,0.8743278384208679,0.64375,0.6204196481499241,0.6289536959664425,0.6188155316485172,4,ACO
Sleep-EDF,8,8,32,2,32,0.3,0.001,16,0.9943267703056335,0.575,0.567984784115797,0.5654842763200058,0.5629915137145796,4,ACO
Sleep-EDF,8,9,16,5,96,0.1,0.005,16,1.0472424030303955,0.55,0.5273856377090125,0.5465221616044936,0.5118562828493923,4,ACO
Sleep-EDF,8,10,32,5,96,0.2,0.005,48,0.9216596484184265,0.58515625,0.5702523083306535,0.570768261415594,0.5605286751025574,4,ACO
Sleep-EDF,9,1,32,3,128,0.1,0.001,48,0.9806049466133118,0.56640625,0.6275466155940452,0.5548186203606778,0.5358540027942207,4,ACO
Sleep-EDF,9,2,32,2,96,0.5,0.005,64,1.1983530521392822,0.4921875,0.45305003223713747,0.4757435108924571,0.4446462481504304,4,ACO
Sleep-EDF,9,3,96,5,128,0.2,0.0005,16,0.8884986639022827,0.63046875,0.6226468122514156,0.6192876028147731,0.6160787568473771,4,ACO
Sleep-EDF,9,4,128,5,32,0.1,0.005,16,1.0596848726272583,0.528125,0.5556242099446677,0.5263565350847564,0.4977478746187202,4,ACO
Sleep-EDF,9,5,16,5,32,0.1,0.005,16,1.0853393077850342,0.52109375,0.5385016973740477,0.5114897273659618,0.49273727487870894,3,ACO
Sleep-EDF,9,6,32,5,128,0.1,0.005,16,0.9939664006233215,0.5765625,0.5823749014284145,0.5691478949840852,0.5207383511477722,3,ACO
Sleep-EDF,9,7,128,5,96,0.5,0.005,64,1.0891942977905273,0.553125,0.5617540733516296,0.5393055113282448,0.5002715218027936,4,ACO
Sleep-EDF,9,8,128,5,128,0.5,0.0005,16,0.8990931510925293,0.61875,0.6354174120062958,0.6132623974404805,0.6192447902962803,4,ACO
Sleep-EDF,9,9,64,5,32,0.1,0.01,16,1.084302306175232,0.50703125,0.5020681696785567,0.49630244516145333,0.44897407172969467,4,ACO
Sleep-EDF,9,10,96,2,128,0.3,0.0001,64,1.494706630706787,0.3859375,0.3520240217299041,0.3627706629693031,0.2526979595472957,4,ACO
Sleep-EDF,10,1,32,2,96,0.2,0.001,16,0.9110430479049683,0.603125,0.5795769450050596,0.5912715874596235,0.5832151516407664,4,ACO
Sleep-EDF,10,2,128,5,96,0.5,0.0005,16,0.8741515278816223,0.625,0.5985931826740162,0.6080660308416992,0.5767052720666119,4,ACO
Sleep-EDF,10,3,96,5,96,0.3,0.0005,16,0.8628162145614624,0.6375,0.6114616292286573,0.6228349939932742,0.6114067805964541,4,ACO
Sleep-EDF,10,4,96,5,32,0.5,0.0005,48,1.1442339420318604,0.509375,0.46160583031456204,0.4954666475247943,0.46471391201372014,4,ACO
Sleep-EDF,10,5,128,4,96,0.1,0.0005,48,1.2132031917572021,0.5015625,0.5070298715844214,0.4851287757639988,0.4489303270169408,4,ACO
Sleep-EDF,10,6,128,5,96,0.3,0.0001,16,0.9792616963386536,0.5859375,0.5498889773175967,0.5705330936081937,0.5494975918799851,4,ACO
Sleep-EDF,10,7,128,5,96,0.1,0.0005,16,0.8071275949478149,0.678125,0.6657045367736719,0.6653410277802152,0.6613692731398518,4,ACO
Sleep-EDF,10,8,32,3,128,0.1,0.0005,64,1.22468101978302,0.46171875,0.4373147424738761,0.4402857670451608,0.3854036092039358,4,ACO
Sleep-EDF,10,9,96,5,32,0.1,0.01,16,1.1511719226837158,0.53203125,0.5108257313041473,0.5195826108076717,0.49530585622173895,4,ACO
Sleep-EDF,10,10,16,2,64,0.3,0.005,48,1.0263311862945557,0.55703125,0.5407029121121287,0.5437180118146927,0.5128071726712302,4,ACO
