filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,basin_id,phase,method
16,2,96,0.2,0.0005,32,175.0182647705078,1,hc_start,Basin Hopping
16,2,128,0.2,0.0005,32,134.7219696044922,1,hc_step,Basin Hopping
16,2,128,0.2,0.001,32,26.927871704101562,1,hc_step,Basin Hopping
16,2,128,0.1,0.001,32,28.79077911376953,1,hc_step,Basin Hopping
16,2,128,0.2,0.001,48,76.18138885498047,1,hc_step,Basin Hopping
16,2,128,0.2,0.001,16,26.160921096801758,1,hc_step,Basin Hopping
16,2,128,0.2,0.001,32,25.919544219970703,1,hc_step,Basin Hopping
16,2,96,0.2,0.001,32,29.15594482421875,1,hc_step,Basin Hopping
16,2,128,0.1,0.001,32,27.06658935546875,1,hc_step,Basin Hopping
32,2,128,0.2,0.001,32,34.55736541748047,1,hc_step,Basin Hopping
16,2,128,0.2,0.005,32,27.740262985229492,1,hc_step,Basin Hopping
16,2,128,0.2,0.001,16,24.928911209106445,1,hc_step,Basin Hopping
32,2,128,0.2,0.001,16,26.51181411743164,1,hc_step,Basin Hopping
16,2,128,0.3,0.001,16,27.292221069335938,1,hc_step,Basin Hopping
16,2,128,0.1,0.001,16,25.795812606811523,1,hc_step,Basin Hopping
16,2,128,0.2,0.005,16,26.310022354125977,1,hc_step,Basin Hopping
16,2,128,0.2,0.0005,16,24.73393440246582,1,hc_step,Basin Hopping
16,2,128,0.1,0.0005,16,28.84711265563965,1,hc_step,Basin Hopping
16,2,128,0.2,0.0005,32,266.1810607910156,1,hc_step,Basin Hopping
16,3,128,0.2,0.0005,16,27.088499069213867,1,hc_step,Basin Hopping
32,2,128,0.2,0.0005,16,27.033592224121094,1,hc_step,Basin Hopping
16,2,96,0.2,0.0005,16,40.417457580566406,1,hc_step,Basin Hopping
16,2,128,0.2,0.0001,16,799.8294067382812,1,hc_step,Basin Hopping
16,2,128,0.2,0.001,16,25.606435775756836,1,hc_step,Basin Hopping
