dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,basin_id,phase,method
Haaglanden,16,2,96,0.2,0.0005,32,1.2161924839019775,0.490625,0.45697031689303813,0.4866784134275034,0.440497205012477,4,1,hc_start,Basin Hopping
Haaglanden,16,2,96,0.2,0.0001,32,1.425987958908081,0.37890625,0.38955762894502355,0.37969748191412556,0.2722428475628835,4,1,hc_step,Basin Hopping
Haaglanden,16,2,96,0.2,0.001,32,1.4075911045074463,0.35078125,0.32588034088706014,0.34983501962038427,0.31067337868345674,4,1,hc_step,Basin Hopping
Haaglanden,16,2,64,0.2,0.0005,32,1.2505683898925781,0.48359375,0.4465726716101953,0.4803535971554046,0.45492501359269283,4,1,hc_step,Basin Hopping
Haaglanden,16,2,96,0.2,0.0005,48,1.2450934648513794,0.4765625,0.43358338696697823,0.4739484066181694,0.40705089913981507,4,1,hc_step,Basin Hopping
Haaglanden,16,2,96,0.3,0.0005,32,1.4804165363311768,0.37109375,0.30298221024003785,0.3679689011394798,0.3033866537812386,4,1,hc_step,Basin Hopping
Haaglanden,16,2,96,0.1,0.0005,32,1.2584691047668457,0.48046875,0.44897838745453794,0.4774331359457505,0.4192472428196513,4,1,hc_step,Basin Hopping
Haaglanden,16,2,96,0.2,0.0005,16,1.2476197481155396,0.47578125,0.4457123673770149,0.4773118581114063,0.42462983070542953,4,1,hc_step,Basin Hopping
Haaglanden,16,2,128,0.2,0.0005,32,1.3280584812164307,0.45078125,0.42149936708067576,0.45234893521074016,0.3910775163126963,4,1,hc_step,Basin Hopping
Haaglanden,16,3,96,0.2,0.0005,32,1.2853835821151733,0.4296875,0.42739817595195506,0.425053147249708,0.38537899725457514,4,1,hc_step,Basin Hopping
Haaglanden,32,2,96,0.2,0.0005,32,1.337740182876587,0.45546875,0.4062900069464955,0.45333222282513114,0.4041866067717315,4,1,hc_step,Basin Hopping
Haaglanden,96,5,96,0.2,0.0005,32,1.254939317703247,0.459375,0.42570428267560184,0.4576934667458076,0.4076713969001283,4,2,hc_start,Basin Hopping
Haaglanden,64,5,96,0.2,0.0005,32,1.240878939628601,0.47109375,0.4616976940701594,0.4685978608923255,0.4301767634087019,4,2,hc_step,Basin Hopping
Haaglanden,64,5,128,0.2,0.0005,32,1.1119987964630127,0.53515625,0.5160916817120207,0.5331565132167617,0.520749788769557,4,2,hc_step,Basin Hopping
