dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,basin_id,phase,method
Sleep-EDF,16,2,96,0.2,0.0005,32,0.9432933926582336,0.603125,0.5813487817708609,0.5881784805168981,0.5703711507789793,4,1,hc_start,Basin Hopping
Sleep-EDF,16,2,96,0.2,0.0001,32,1.0880346298217773,0.55859375,0.5171975237967797,0.5422178510355284,0.5128324147440882,4,1,hc_step,Basin Hopping
Sleep-EDF,16,2,96,0.2,0.001,32,1.1515660285949707,0.49140625,0.49693114164568425,0.4729300321200398,0.44121454065484256,4,1,hc_step,Basin Hopping
Sleep-EDF,16,2,64,0.2,0.0005,32,0.9855253100395203,0.5796875,0.553466893634136,0.5635285130082904,0.5526850278880102,4,1,hc_step,Basin Hopping
Sleep-EDF,16,2,96,0.2,0.0005,48,0.969605565071106,0.5875,0.57680763395699,0.5742892725580345,0.5707838180646323,4,1,hc_step,Basin Hopping
Sleep-EDF,16,2,96,0.3,0.0005,32,1.1362683773040771,0.5203125,0.4900220167563797,0.5005202563673228,0.4759935943143784,4,1,hc_step,Basin Hopping
Sleep-EDF,16,2,96,0.1,0.0005,32,0.9540193676948547,0.58984375,0.564718417883552,0.5763223694134914,0.565612940593965,4,1,hc_step,Basin Hopping
Sleep-EDF,16,2,96,0.2,0.0005,16,0.921893298625946,0.603125,0.6102514074589517,0.5890979742204863,0.5714538148001781,4,1,hc_step,Basin Hopping
Sleep-EDF,16,2,96,0.2,0.0001,16,1.0469000339508057,0.55234375,0.5215115204455962,0.535293431319954,0.5146228744539061,4,1,hc_step,Basin Hopping
Sleep-EDF,16,2,128,0.2,0.0005,16,1.1116130352020264,0.49765625,0.4490199969859424,0.480838043227214,0.43621528566108536,4,1,hc_step,Basin Hopping
Sleep-EDF,16,2,96,0.1,0.0005,16,0.9688947796821594,0.5859375,0.5661895446609109,0.5718179494667003,0.5544606820526475,4,1,hc_step,Basin Hopping
Sleep-EDF,32,2,96,0.2,0.0005,16,0.8721017837524414,0.62734375,0.607037579057591,0.6157016313049828,0.6099153576278786,4,1,hc_step,Basin Hopping
Sleep-EDF,16,2,96,0.2,0.0005,16,0.9665462374687195,0.5859375,0.5346039786836065,0.5663858110649114,0.5239023111705017,4,1,hc_step,Basin Hopping
Sleep-EDF,32,2,96,0.3,0.0005,16,1.0702927112579346,0.51640625,0.42589541476439746,0.5001599775282607,0.4343659079202449,4,1,hc_step,Basin Hopping
Sleep-EDF,32,2,64,0.2,0.0005,16,0.9253647923469543,0.5953125,0.6009718888702258,0.5834955882583369,0.5630580660560247,4,1,hc_step,Basin Hopping
Sleep-EDF,32,2,96,0.2,0.0001,16,1.0431917905807495,0.56171875,0.5227654261183108,0.5466132975073786,0.5196537180459243,4,1,hc_step,Basin Hopping
Sleep-EDF,32,2,96,0.2,0.001,16,0.9301010370254517,0.61171875,0.6195226485260532,0.5995989716132297,0.5929570841069884,4,1,hc_step,Basin Hopping
Sleep-EDF,32,2,96,0.1,0.0005,16,0.9306128621101379,0.60625,0.6024127603977733,0.5949100857063137,0.5972547416747174,4,1,hc_step,Basin Hopping
Sleep-EDF,64,2,96,0.2,0.0005,16,0.9122474789619446,0.60078125,0.5919153885323073,0.5892011186672815,0.5744858828497603,4,1,hc_step,Basin Hopping
Sleep-EDF,32,2,96,0.2,0.0005,32,0.9108231663703918,0.609375,0.5878337611420285,0.5934030678491995,0.574733003243147,4,1,hc_step,Basin Hopping
Sleep-EDF,32,2,128,0.2,0.0005,16,0.9439117312431335,0.60546875,0.5915410064783287,0.5873118464163799,0.5682752079374087,4,1,hc_step,Basin Hopping
Sleep-EDF,32,3,96,0.2,0.0005,16,0.97685307264328,0.57421875,0.5372925888069245,0.5612582327693241,0.5322805667896366,4,1,hc_step,Basin Hopping
Sleep-EDF,32,5,96,0.2,0.0005,16,0.9044393301010132,0.62890625,0.6011769440588027,0.6117225464091224,0.5900796873529995,4,2,hc_start,Basin Hopping
Sleep-EDF,16,5,96,0.2,0.0005,16,0.9265753626823425,0.62734375,0.6035110237333028,0.6117510212391691,0.5905555898206737,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,96,0.2,0.0005,16,0.8228930234909058,0.659375,0.6685964596959165,0.6514245374870455,0.655660781743096,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,128,0.2,0.0005,16,0.8752880096435547,0.63671875,0.6471546090279068,0.6278290660474563,0.6305113861592495,4,2,hc_step,Basin Hopping
Sleep-EDF,32,5,96,0.2,0.0005,16,0.9109495878219604,0.62109375,0.5976609609754268,0.6067357953541116,0.597612986424646,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,96,0.3,0.0005,16,0.8507972955703735,0.653125,0.6411378572797093,0.6390671763505765,0.6310150147581195,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,96,0.2,0.001,16,0.8539621233940125,0.6421875,0.6481754756547792,0.6253881241311507,0.6051648650224599,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,96,0.2,0.0001,16,0.9004607200622559,0.63046875,0.5939221817973819,0.6151775031161884,0.5930030310582886,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,96,0.2,0.0005,32,0.8447905778884888,0.66015625,0.6651544219366998,0.6479107864621603,0.6448959531987961,4,2,hc_step,Basin Hopping
Sleep-EDF,64,4,96,0.2,0.0005,16,0.8307049870491028,0.634375,0.6205309055775703,0.6227631440306668,0.6202901623737713,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,64,0.2,0.0005,16,0.8946681022644043,0.61796875,0.6075715965720219,0.6034823388123145,0.5952934542904568,4,2,hc_step,Basin Hopping
Sleep-EDF,96,5,96,0.2,0.0005,16,0.8623560667037964,0.64453125,0.6485047267288908,0.6311399337684153,0.6185611513171345,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,96,0.1,0.0005,16,0.7985473871231079,0.66640625,0.6525108163331748,0.6511368702289276,0.640086133031511,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,96,0.1,0.0005,32,0.8438191413879395,0.6359375,0.6459165319517902,0.6265735282285639,0.6319461596409341,4,2,hc_step,Basin Hopping
Sleep-EDF,64,4,96,0.1,0.0005,16,0.8303145170211792,0.65546875,0.6557545248828582,0.6423469627350324,0.6428142751663619,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,96,0.1,0.0001,16,0.8693459630012512,0.646875,0.6297687858842542,0.6337812579531692,0.6245818736168455,4,2,hc_step,Basin Hopping
Sleep-EDF,96,5,96,0.1,0.0005,16,0.853066623210907,0.64296875,0.6407387164960816,0.6353365357594963,0.628347446775569,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,64,0.1,0.0005,16,0.8341584205627441,0.65546875,0.6413084086682954,0.64150214970489,0.6305908465409281,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,128,0.1,0.0005,16,0.8677853345870972,0.6390625,0.6485496088333209,0.6308620196497543,0.6358335334591343,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,96,0.1,0.001,16,0.8560720682144165,0.64453125,0.6446771633933678,0.6312276356250224,0.6291800607627891,4,2,hc_step,Basin Hopping
Sleep-EDF,32,5,96,0.1,0.0005,16,0.8321729898452759,0.64765625,0.6345115180242801,0.6310824217424003,0.6170049121381315,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,96,0.2,0.0005,16,0.8206103444099426,0.640625,0.6426504422048616,0.6325841002405971,0.6193392301278704,4,2,hc_step,Basin Hopping
Sleep-EDF,64,5,128,0.1,0.0005,16,0.8227798342704773,0.66171875,0.6624702882146996,0.6483716568524739,0.6433151947985138,4,3,hc_start,Basin Hopping
Sleep-EDF,64,5,96,0.1,0.0005,16,0.8307141065597534,0.6484375,0.645191904047976,0.6364968145694933,0.6327005944660715,4,3,hc_step,Basin Hopping
Sleep-EDF,64,5,128,0.2,0.0005,16,0.8778848648071289,0.6296875,0.6189328618216347,0.6130659975715496,0.5857633017252999,4,3,hc_step,Basin Hopping
Sleep-EDF,64,5,128,0.1,0.001,16,0.86920166015625,0.6390625,0.6423970817619488,0.6244933811910627,0.6119766259661725,4,3,hc_step,Basin Hopping
Sleep-EDF,64,5,128,0.1,0.0001,16,0.866881251335144,0.640625,0.6248977817102592,0.6235781006657259,0.6117708685815392,4,3,hc_step,Basin Hopping
Sleep-EDF,96,5,128,0.1,0.0005,16,0.9661918878555298,0.5890625,0.6219217308545961,0.5812446156041312,0.5776627600727234,4,3,hc_step,Basin Hopping
Sleep-EDF,64,4,128,0.1,0.0005,16,0.8733094930648804,0.628125,0.635167658701724,0.6220809781617219,0.6265691695388698,4,3,hc_step,Basin Hopping
Sleep-EDF,64,5,128,0.1,0.0005,32,0.926296591758728,0.58203125,0.5631180955066365,0.569953473444454,0.5587089091464017,4,3,hc_step,Basin Hopping
Sleep-EDF,32,5,128,0.1,0.0005,16,0.8491089940071106,0.6390625,0.6223401945747928,0.6275957270618859,0.6242386778510042,4,3,hc_step,Basin Hopping
Sleep-EDF,64,5,32,0.1,0.0005,16,0.8577006459236145,0.634375,0.6448972223770929,0.6258192624424077,0.6307137674515031,4,4,hc_start,Basin Hopping
Sleep-EDF,96,5,32,0.1,0.0005,16,0.8758305311203003,0.62890625,0.619217001587001,0.6188591652448128,0.6164124394211127,4,4,hc_step,Basin Hopping
Sleep-EDF,64,5,32,0.1,0.001,16,0.88725745677948,0.63046875,0.6065951973402204,0.6162219162987607,0.6081245705518037,4,4,hc_step,Basin Hopping
Sleep-EDF,32,5,32,0.1,0.0005,16,0.8949551582336426,0.61171875,0.5830333574387859,0.5964732020646223,0.5806910607648494,4,4,hc_step,Basin Hopping
Sleep-EDF,64,4,32,0.1,0.0005,16,0.8481208086013794,0.65078125,0.6503961607247608,0.6380030295153144,0.6315072983999211,4,4,hc_step,Basin Hopping
Sleep-EDF,64,4,32,0.1,0.0001,16,0.9674630165100098,0.5953125,0.5620297102593733,0.58103303749038,0.5673229807006692,4,4,hc_step,Basin Hopping
Sleep-EDF,96,4,32,0.1,0.0005,16,0.900526225566864,0.63046875,0.6078995317361809,0.6185261444216741,0.6117320031024642,4,4,hc_step,Basin Hopping
Sleep-EDF,64,5,32,0.1,0.0005,16,0.8783372044563293,0.63515625,0.6235916179337232,0.6231266739499366,0.6149992069753016,4,4,hc_step,Basin Hopping
Sleep-EDF,64,4,64,0.1,0.0005,16,0.8240734338760376,0.66328125,0.6512614905755307,0.6498959192969505,0.6454306652949038,4,4,hc_step,Basin Hopping
Sleep-EDF,64,4,64,0.1,0.001,16,0.8617933392524719,0.62890625,0.6346486538020084,0.6171933361685369,0.61476172802265,4,4,hc_step,Basin Hopping
Sleep-EDF,64,5,64,0.1,0.0005,16,0.8380826711654663,0.63828125,0.631854506693489,0.6254919205752583,0.6161962952820754,4,4,hc_step,Basin Hopping
Sleep-EDF,32,4,64,0.1,0.0005,16,0.8698892593383789,0.64375,0.6319975442370639,0.6274418004740274,0.60272641305125,4,4,hc_step,Basin Hopping
Sleep-EDF,64,4,64,0.1,0.0005,32,0.856556236743927,0.65,0.6524613128215911,0.6405997836659219,0.6450427745015579,4,4,hc_step,Basin Hopping
Sleep-EDF,64,4,64,0.2,0.0005,16,0.8512240648269653,0.6421875,0.624721546569957,0.6250822355642539,0.6129563919762049,4,4,hc_step,Basin Hopping
Sleep-EDF,64,4,96,0.1,0.0005,16,0.9072161912918091,0.6078125,0.6115836537656854,0.5977180303394045,0.5969933453505644,4,4,hc_step,Basin Hopping
Sleep-EDF,64,4,64,0.1,0.0001,16,0.9089201092720032,0.6125,0.5882755878663173,0.6000646276754523,0.5853459069537243,4,4,hc_step,Basin Hopping
Sleep-EDF,64,4,32,0.1,0.0005,16,0.8956910967826843,0.6171875,0.5917827247259252,0.6015899810599121,0.5860225763034788,4,4,hc_step,Basin Hopping
Sleep-EDF,96,4,64,0.1,0.0005,16,0.864787757396698,0.6296875,0.6249003311630374,0.6191153040307388,0.6138914117639536,4,4,hc_step,Basin Hopping
Sleep-EDF,64,3,64,0.1,0.0005,16,0.869886040687561,0.6265625,0.6143851643901245,0.6133817564015018,0.6072138534577118,4,4,hc_step,Basin Hopping
Sleep-EDF,64,2,64,0.1,0.0005,64,1.5208526849746704,0.371875,0.3720170560805925,0.34844806577338155,0.2700059069623942,4,5,hc_start,Basin Hopping
