filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,method
57,4,102,0.3394633936788146,0.0016445845403801217,23,23.443592071533203,Bayesian Optimization
22,4,89,0.3832290311184182,0.00030378649352844425,62,889.543701171875,Bayesian Optimization
109,2,49,0.17336180394137352,0.0031119982052994237,41,23.998332977294922,Bayesian Optimization
64,2,90,0.15579754426081674,0.0029922320204986597,33,23.507829666137695,Bayesian Optimization
67,4,51,0.3056937753654446,0.005964904231734221,18,23.49347496032715,Bayesian Optimization
110,3,105,0.1,0.01,16,23.742366790771484,Bayesian Optimization
128,2,128,0.5,0.0001,64,904.075927734375,Bayesian Optimization
56,4,100,0.2289717664008285,0.008323796028985439,22,23.631189346313477,Bayesian Optimization
128,5,32,0.5,0.01,16,23.371929168701172,Bayesian Optimization
95,2,74,0.1,0.01,16,23.471092224121094,Bayesian Optimization
16,2,32,0.1,0.01,16,23.779155731201172,Bayesian Optimization
74,2,32,0.1,0.01,64,24.02181625366211,Bayesian Optimization
128,5,32,0.5,0.01,64,24.302127838134766,Bayesian Optimization
16,2,128,0.1,0.01,16,23.63434410095215,Bayesian Optimization
128,5,73,0.5,0.01,16,23.778438568115234,Bayesian Optimization
