dataset,probe,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,1,57,4,102,0.3394633936788146,0.0016445845403801217,23,1.2901071310043335,0.44765625,0.44624957475706106,0.44969789833226514,0.4441915644351807,4,Bayesian Optimization
Haaglanden,2,22,4,89,0.3832290311184182,0.00030378649352844425,62,1.6038951873779297,0.20859375,0.17558765934719484,0.20474686919521864,0.17608073256770934,3,Bayesian Optimization
Haaglanden,3,109,2,49,0.17336180394137352,0.0031119982052994237,41,1.4432661533355713,0.340625,0.3815892433473027,0.34077317827788517,0.28854875937294877,4,Bayesian Optimization
Haaglanden,4,64,2,90,0.15579754426081674,0.0029922320204986597,33,1.3141272068023682,0.415625,0.3979961685130647,0.4183502864876029,0.3790385699109991,4,Bayesian Optimization
Haaglanden,5,67,4,51,0.3056937753654446,0.005964904231734221,18,1.293953537940979,0.43046875,0.43443989991849585,0.4292516032681716,0.42226292378807956,4,Bayesian Optimization
Haaglanden,6,84,2,38,0.4795542149013333,0.009659757127438138,54,2.0697031021118164,0.25625,0.27496454698264094,0.25725005717223615,0.1766601308265547,4,Bayesian Optimization
Haaglanden,7,50,2,97,0.27606099749584057,0.0013081785249633106,39,1.2682949304580688,0.4515625,0.4391891084206419,0.450123643161173,0.4054742960921556,4,Bayesian Optimization
Haaglanden,8,19,4,56,0.36500891374159283,0.0031859396532851686,40,1.3164840936660767,0.4140625,0.40337991949657653,0.4157035729986652,0.3878362621079463,4,Bayesian Optimization
Haaglanden,9,77,2,125,0.4100531293444458,0.009401039521485473,58,1.5942370891571045,0.25,0.23821400988903924,0.2589814500257578,0.1827314037592424,4,Bayesian Optimization
Haaglanden,10,82,4,40,0.1783931449676581,0.0005477501602143269,31,1.1516634225845337,0.51328125,0.46698527116394467,0.510776558623929,0.46924919437677415,4,Bayesian Optimization
Haaglanden,11,59,2,111,0.2427013306774357,0.0028812516459050695,42,1.321080207824707,0.428125,0.4300370389606728,0.4272620929129025,0.3884799541953401,4,Bayesian Optimization
Haaglanden,12,31,4,39,0.4947547746402069,0.00774522321603691,25,1.3983505964279175,0.39296875,0.39204997892166904,0.39192100580201494,0.3862483802182236,3,Bayesian Optimization
Haaglanden,13,16,4,99,0.3916028672163949,0.007735576432190864,19,1.2940516471862793,0.4625,0.46201207619891305,0.45757173210794394,0.43152944602699306,4,Bayesian Optimization
Haaglanden,14,56,2,114,0.3493192507310232,0.003375890446041227,19,1.3071012496948242,0.4375,0.4165663865876777,0.4344436952507745,0.3696907940563504,4,Bayesian Optimization
Haaglanden,15,50,2,102,0.35502298854208525,0.008883406151505633,38,1.4979405403137207,0.31015625,0.35689844551832806,0.3080720450407911,0.26992807867503626,4,Bayesian Optimization
Haaglanden,16,29,4,105,0.3245108790277985,0.007732575081550155,39,1.2550359964370728,0.43515625,0.4145184677794835,0.4433106516475414,0.38013208635739393,4,Bayesian Optimization
Haaglanden,17,74,3,34,0.1431565707973218,0.0004111489382986691,46,1.43952214717865,0.37578125,0.34082580219491004,0.37848296251208263,0.30487189488550315,4,Bayesian Optimization
Haaglanden,18,51,3,119,0.19971689165954998,0.004162790938052735,52,1.1829302310943604,0.48984375,0.48877727890649486,0.4830568738689737,0.45988570562926334,4,Bayesian Optimization
Haaglanden,19,41,2,59,0.16448851490160177,0.009304006758191473,54,1.6639658212661743,0.25625,0.29696542492125555,0.26072353728686093,0.2353392303420702,4,Bayesian Optimization
Haaglanden,20,86,4,109,0.17462802355441434,0.00893633408505078,41,1.3381457328796387,0.41171875,0.3581493593688071,0.41027350863926737,0.35846370865857474,4,Bayesian Optimization
Haaglanden,21,63,4,49,0.4264928682957819,0.0017249997967527866,35,1.1962559223175049,0.48984375,0.48260457618182756,0.4911002756239357,0.4677251147920362,4,Bayesian Optimization
Haaglanden,22,109,3,65,0.3356823367637263,0.00799876594490386,57,1.2915489673614502,0.4265625,0.43590819352639265,0.41722625133695806,0.39704410576081084,4,Bayesian Optimization
Haaglanden,23,26,4,68,0.3836780706014705,0.002485179051171415,59,1.5822994709014893,0.36875,0.3051700620636808,0.3708572504078968,0.23859274580228193,4,Bayesian Optimization
Haaglanden,24,71,3,122,0.23633157260123447,0.003690930421227392,58,1.5532090663909912,0.33359375,0.38373044899526454,0.3389111071300101,0.27584107765966004,4,Bayesian Optimization
Haaglanden,25,123,4,34,0.3371124228831586,0.008511757152797731,31,1.4237431287765503,0.33828125,0.32543433653951104,0.3417184833527246,0.2873157621135425,4,Bayesian Optimization
Haaglanden,26,77,4,43,0.24007992805708045,0.0008420229863080268,31,1.2729593515396118,0.45546875,0.44889128023571434,0.4505686922016783,0.4003737488904573,4,Bayesian Optimization
Haaglanden,27,47,2,101,0.4954744798876979,0.005965153270797399,55,1.6450952291488647,0.20078125,0.18420051353874883,0.20014541626566226,0.11078803129953545,3,Bayesian Optimization
Haaglanden,28,21,4,88,0.293698961890601,0.0029970515783503517,43,1.2390406131744385,0.47890625,0.4286519594024652,0.4724220496204932,0.41672248257310296,4,Bayesian Optimization
Haaglanden,29,59,3,116,0.3284513503057361,0.009787752065152405,28,1.5070897340774536,0.3453125,0.38780706107701013,0.34149715316277385,0.30508744883534833,3,Bayesian Optimization
Haaglanden,30,43,4,34,0.12337134022893657,0.005435716170359738,60,1.6804946660995483,0.34375,0.2939494418568872,0.3444292848497693,0.23098313827487665,3,Bayesian Optimization
Haaglanden,31,41,3,53,0.21251356352499085,0.002981534015849473,45,1.4286646842956543,0.38125,0.3098514644735667,0.3820816839719815,0.2767580996538712,3,Bayesian Optimization
Haaglanden,32,83,4,41,0.13473676020440156,0.0015092720248255282,25,1.2612073421478271,0.41875,0.4300196594685894,0.4143925914115446,0.378587948663209,4,Bayesian Optimization
Haaglanden,33,86,4,102,0.4474732096703149,0.0007347840305277436,62,1.6703065633773804,0.20234375,0.2900954653937947,0.20606092473796753,0.0781524706700922,3,Bayesian Optimization
Haaglanden,34,80,5,34,0.1,0.0001,31,1.3521138429641724,0.43046875,0.38301879292084007,0.42932831951534106,0.3677532492472391,4,Bayesian Optimization
Haaglanden,35,86,5,46,0.1943438205034153,0.008120826348177778,32,1.3817317485809326,0.359375,0.36016508838955613,0.35776346250677865,0.3536836986680575,4,Bayesian Optimization
Haaglanden,36,63,4,76,0.1828466527178143,0.005925782378751537,25,1.4487041234970093,0.3515625,0.24873727553303332,0.3509325172686538,0.26413270182597126,4,Bayesian Optimization
Haaglanden,37,91,2,109,0.2063940720041916,0.0025631148446628926,23,1.2655439376831055,0.4609375,0.45512200421718363,0.45402504406897526,0.4004701409077202,4,Bayesian Optimization
Haaglanden,38,84,4,99,0.29576908428810644,0.0007420607651610234,41,1.4501219987869263,0.4,0.3844764500052997,0.3994674694059657,0.33157821441042457,4,Bayesian Optimization
Haaglanden,39,112,4,34,0.2343343188686823,0.007002771317453564,24,1.2845696210861206,0.46171875,0.4179533709257749,0.45983512731473064,0.39419691670287704,4,Bayesian Optimization
Haaglanden,40,66,4,49,0.3670723656996411,0.003022049790575443,29,1.2081215381622314,0.459375,0.4135225586700705,0.4638251159764904,0.4075883791517514,4,Bayesian Optimization
Haaglanden,41,58,3,32,0.16858626906995844,0.006391472224062686,61,1.4329712390899658,0.390625,0.3624916915391364,0.3893428790730159,0.3329622497416054,3,Bayesian Optimization
Haaglanden,42,59,4,52,0.46953614434627616,0.004246283691891136,29,1.2850017547607422,0.4234375,0.3848044250767629,0.423613614690557,0.3662425764034146,4,Bayesian Optimization
Haaglanden,43,111,4,120,0.14317498286766686,0.00996842130497612,32,1.3262490034103394,0.403125,0.40698244673395284,0.4104862193327111,0.3993071912683452,4,Bayesian Optimization
Haaglanden,44,68,3,54,0.48291718539822004,0.007136877347102106,17,1.33864164352417,0.39609375,0.3638794494145088,0.4027800039096638,0.35696944346771264,4,Bayesian Optimization
Haaglanden,45,51,2,89,0.1193838520309356,0.0001,38,1.3535209894180298,0.39296875,0.37355583460684894,0.40018271099732133,0.3678857750944272,4,Bayesian Optimization
Haaglanden,46,55,2,121,0.1,0.0001,47,1.5210014581680298,0.353125,0.27442350140951,0.35490308181911046,0.2615355780051005,4,Bayesian Optimization
Haaglanden,47,47,5,119,0.2454162733055683,0.008052193704335917,56,1.3073586225509644,0.4390625,0.4232778350425409,0.4293340894194415,0.37064630618039734,4,Bayesian Optimization
Haaglanden,48,63,4,43,0.41544998709431064,0.01,32,1.2919124364852905,0.41640625,0.40555538172399225,0.4145166675039902,0.3837662860525228,4,Bayesian Optimization
Haaglanden,49,67,2,54,0.1,0.01,33,1.3930584192276,0.3890625,0.34280274807085176,0.38973424337927914,0.337300465266893,4,Bayesian Optimization
Haaglanden,50,54,5,115,0.5,0.0021806854389676954,55,1.5892231464385986,0.346875,0.3598869731800766,0.34931100459781267,0.23041451756325823,3,Bayesian Optimization
Haaglanden,51,46,2,120,0.1,0.00724824395139448,50,1.474665880203247,0.40234375,0.4437342701148198,0.39865439037272854,0.3508995354968669,4,Bayesian Optimization
Haaglanden,52,81,2,40,0.5,0.008746335765658829,29,1.4196572303771973,0.3609375,0.4745570659972489,0.35160823647079453,0.2611636374788886,4,Bayesian Optimization
Haaglanden,53,51,3,119,0.2427437494532942,0.005075740826256621,52,1.2396628856658936,0.45546875,0.45898536852751654,0.4507436739757563,0.44255694606803875,4,Bayesian Optimization
Haaglanden,54,63,4,49,0.4285530495153458,0.0033926759159746793,31,1.3585611581802368,0.42421875,0.47318988718840166,0.4214140371790679,0.4093740489657363,4,Bayesian Optimization
Haaglanden,55,84,5,40,0.1,0.0001,29,1.3397934436798096,0.43828125,0.40330956568683335,0.4416835864356889,0.38592309579811623,4,Bayesian Optimization
Haaglanden,56,81,5,41,0.1,0.0001,33,1.3305245637893677,0.43203125,0.3880104495170538,0.4304101052764288,0.3787754138028001,4,Bayesian Optimization
Haaglanden,57,83,5,38,0.2768329100467361,0.0001,32,1.3927443027496338,0.4109375,0.3727739955443391,0.4112228447134937,0.3513794274991407,4,Bayesian Optimization
Haaglanden,58,83,4,41,0.5,0.0001,31,1.534266471862793,0.31953125,0.30774677924301264,0.32680204958854386,0.2717133112199043,4,Bayesian Optimization
Haaglanden,59,82,5,40,0.1,0.0007607728797812168,31,1.1513139009475708,0.50234375,0.4945832567514957,0.5018240284789802,0.48961124359712915,4,Bayesian Optimization
Haaglanden,60,82,4,39,0.1,0.01,30,1.3386904001235962,0.409375,0.35960981008462384,0.40481915992271206,0.3294497995624309,4,Bayesian Optimization
Haaglanden,61,64,4,49,0.4068699287005359,0.0017264082973653591,34,1.4260966777801514,0.4140625,0.39877914254041175,0.4105468939685082,0.3573850815743925,4,Bayesian Optimization
Haaglanden,62,63,4,49,0.44403601103349094,0.0017439316060038536,36,1.2841827869415283,0.47109375,0.426283968161494,0.4703654896625903,0.40870715942668745,4,Bayesian Optimization
Haaglanden,63,50,3,119,0.19216795725959393,0.004607334583435193,53,1.448163390159607,0.40625,0.41293456359744374,0.40204717116478134,0.3544252945418635,4,Bayesian Optimization
Haaglanden,64,82,4,40,0.1,0.0001,32,1.343151330947876,0.40390625,0.382987154718318,0.4094481300142151,0.3603231793566024,4,Bayesian Optimization
