dataset,probe,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,1,57,4,102,0.3394633936788146,0.0016445845403801217,23,0.9956644177436829,0.59296875,0.5828664296656716,0.5778291406013316,0.5617232286339753,4,Bayesian Optimization
Sleep-EDF,2,22,4,89,0.3832290311184182,0.00030378649352844425,62,1.5047460794448853,0.31484375,0.32283103354125975,0.2906804095783969,0.21329215110064767,4,Bayesian Optimization
Sleep-EDF,3,109,2,49,0.17336180394137352,0.0031119982052994237,41,1.2637159824371338,0.45390625,0.5243313736912893,0.4612558302715903,0.451888533337833,4,Bayesian Optimization
Sleep-EDF,4,64,2,90,0.15579754426081674,0.0029922320204986597,33,0.9581040143966675,0.5921875,0.5915794551189781,0.5766308466955538,0.5665475108801845,4,Bayesian Optimization
Sleep-EDF,5,67,4,51,0.3056937753654446,0.005964904231734221,18,1.0355595350265503,0.54375,0.49186981489429976,0.5273372822335626,0.4831283954423419,4,Bayesian Optimization
Sleep-EDF,6,84,2,38,0.4795542149013333,0.009659757127438138,54,1.3827106952667236,0.353125,0.42279012827418105,0.35819205984061425,0.27764778756983094,4,Bayesian Optimization
Sleep-EDF,7,50,2,97,0.27606099749584057,0.0013081785249633106,39,0.9004701375961304,0.59609375,0.5946773327550838,0.5826972940145886,0.572289604799533,4,Bayesian Optimization
Sleep-EDF,8,19,4,56,0.36500891374159283,0.0031859396532851686,40,1.036620855331421,0.559375,0.5580635762553193,0.5519914560868764,0.5192201763011423,4,Bayesian Optimization
Sleep-EDF,9,77,2,125,0.4100531293444458,0.009401039521485473,58,1.2324683666229248,0.43984375,0.42623160857817943,0.44392898895897337,0.4028938940353727,4,Bayesian Optimization
Sleep-EDF,10,82,4,40,0.1783931449676581,0.0005477501602143269,31,0.9237892031669617,0.62734375,0.6325912219251443,0.6167228278239538,0.6186920429687203,4,Bayesian Optimization
Sleep-EDF,11,59,2,111,0.2427013306774357,0.0028812516459050695,42,1.0472631454467773,0.53984375,0.5550303903591907,0.5213273254953663,0.46400937920984,4,Bayesian Optimization
Sleep-EDF,12,31,4,39,0.4947547746402069,0.00774522321603691,25,0.9709134101867676,0.578125,0.5507429806087524,0.5635026006019085,0.5356148094143393,4,Bayesian Optimization
Sleep-EDF,13,16,4,99,0.3916028672163949,0.007735576432190864,19,1.0147597789764404,0.57890625,0.5726374584403537,0.5737936517129024,0.5472011486196869,4,Bayesian Optimization
Sleep-EDF,14,56,2,114,0.3493192507310232,0.003375890446041227,19,1.0273902416229248,0.5703125,0.5583192633145952,0.5526419225467847,0.5208511322424172,4,Bayesian Optimization
Sleep-EDF,15,50,2,102,0.35502298854208525,0.008883406151505633,38,1.2926820516586304,0.434375,0.4896275248708597,0.4456339012391154,0.4108485696059569,4,Bayesian Optimization
Sleep-EDF,16,29,4,105,0.3245108790277985,0.007732575081550155,39,1.569124460220337,0.39765625,0.49386285307517286,0.39424020562797296,0.4054612800162616,3,Bayesian Optimization
Sleep-EDF,17,74,3,34,0.1431565707973218,0.0004111489382986691,46,0.9953967928886414,0.57734375,0.5465598074199632,0.5605313996525161,0.5447211446448146,4,Bayesian Optimization
Sleep-EDF,18,51,3,119,0.19971689165954998,0.004162790938052735,52,1.1383179426193237,0.51796875,0.5219933459644047,0.501424206340708,0.48074225256354575,4,Bayesian Optimization
Sleep-EDF,19,41,2,59,0.16448851490160177,0.009304006758191473,54,1.1754082441329956,0.55078125,0.5145610243207737,0.529867193419405,0.48749234850381085,4,Bayesian Optimization
Sleep-EDF,20,86,4,109,0.17462802355441434,0.00893633408505078,41,1.1796929836273193,0.484375,0.48784878641326895,0.4683328615525012,0.4442331689736226,4,Bayesian Optimization
Sleep-EDF,21,63,4,49,0.4264928682957819,0.0017249997967527866,35,1.2421460151672363,0.465625,0.5596159974699708,0.4573818956511955,0.43902194704007363,4,Bayesian Optimization
Sleep-EDF,22,109,3,65,0.3356823367637263,0.00799876594490386,57,1.237060785293579,0.471875,0.46698440947455727,0.4577098596404962,0.3952652613151515,4,Bayesian Optimization
Sleep-EDF,23,26,4,68,0.3836780706014705,0.002485179051171415,59,1.139024257659912,0.5125,0.4426074756698094,0.49128827943662606,0.42576973514294636,4,Bayesian Optimization
Sleep-EDF,24,71,3,122,0.23633157260123447,0.003690930421227392,58,1.263869285583496,0.43828125,0.4159531741018001,0.4220047093033853,0.3808925887590534,4,Bayesian Optimization
Sleep-EDF,25,123,4,34,0.3371124228831586,0.008511757152797731,31,1.1697450876235962,0.5125,0.4780305237774468,0.5016335964520673,0.4731968292248889,4,Bayesian Optimization
