dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,method,execution_time
Haaglanden,82,5,40,0.1,0.0007607728797812168,31,1.1513139009475708,0.50234375,0.4945832567514957,0.5018240284789802,0.48961124359712915,Bayesian Optimization,11768.7557
Haaglanden,128,5,96,0.2,0.0005,32,1.0748096704483032,0.55234375,0.5230888032334077,0.5461601993609022,0.5119422083612492,GA,12708.3039
Sleep-EDF,96,5,128,0.3,0.0005,16,0.7921844720840454,0.66640625,0.6663012026396331,0.6548590778913688,0.6548909606035964,ACO,13189.9329
Sleep-EDF,102,4,60,0.17726034572259686,0.00023989536262818373,23,0.8189021944999695,0.6640625,0.6393105037457734,0.6485867786822648,0.6352404788040336,Bayesian Optimization,14542.7347
Haaglanden,128,4,128,0.1,0.0001,16,1.1365888118743896,0.51171875,0.49776934239783815,0.505939257588561,0.47561164096796704,ACO,14306.3411
Sleep-EDF,128,5,128,0.2,0.0005,16,0.784666895866394,0.65859375,0.6492457981673253,0.643982473008072,0.63007159473906,GA,19651.2409
Haaglanden,64,5,32,0.3,0.001,16,1.1436644792556763,0.5078125,0.462942006174943,0.5043299316099616,0.459234910510734,Grid Search,3818.9252
Sleep-EDF,64,5,64,0.1,0.001,16,0.8653429746627808,0.62421875,0.6105926199791673,0.6071025753685072,0.5929191819712403,Grid Search,6521.8051
Haaglanden,32,4,64,0.1,0.0005,16,1.0644128322601318,0.55078125,0.5141473134004679,0.5434913512734524,0.5126967679332382,Hill Climbing,8685.5999
Sleep-EDF,64,5,96,0.1,0.0005,16,0.7985473871231079,0.66640625,0.6525108163331748,0.6511368702289276,0.640086133031511,Basin Hopping,11566.8762
Sleep-EDF,58,4,81,0.28067917409268744,0.0017968032278864096,42,0.9271949529647827,0.59921875,0.5841446751708402,0.5880145319050101,0.5847230063886796,PSO,9528.2873
Sleep-EDF,96,4,64,0.1,0.0005,16,0.7885850071907043,0.67109375,0.6506913489910802,0.6557261845071001,0.6422440963110969,Hill Climbing,13813.4563
Haaglanden,128,4,128,0.1,0.001,16,1.0624868869781494,0.54296875,0.5007582499073043,0.5361290663612742,0.49731748169069057,Basin Hopping,14555.9742
Haaglanden,91,4,94,0.2348327897438325,0.0007361695020514862,33,1.1076737642288208,0.51875,0.46801826261365276,0.5144873071533044,0.46694758261121044,PSO,15347.3823
Sleep-EDF,96,3,128,0.1,0.0001,16,0.8526467084884644,0.64453125,0.6407937295078373,0.6306407581446389,0.6210400179111326,Random Search,10921.679
Sleep-EDF,64,5,128,0.2,0.0005,32,0.8066273927688599,0.66875,0.6659791180319442,0.6589199005811734,0.660556168417642,Simulated Annealing,11512.1789
Sleep-EDF,64,5,96,0.1,0.0005,32,0.7957612872123718,0.66171875,0.6485272828539171,0.6470836218232731,0.6386320460876771,Tabu Search,9263.6954
Haaglanden,128,5,96,0.5,0.001,32,1.157302737236023,0.5046875,0.48009138078656355,0.5061564672133267,0.48272037251508254,Random Search,15351.0027
Haaglanden,96,4,96,0.2,0.001,32,1.1043837070465088,0.52578125,0.5019214218874484,0.5157086418125705,0.4879515763255348,Simulated Annealing,12001.3564
Haaglanden,128,4,128,0.1,0.0005,16,1.062945008277893,0.53125,0.5070354688499527,0.5291039015489875,0.513579454850823,Tabu Search,16573.6653
