filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,method
32,2,128,0.4,0.005,48,26.799631118774414,GA
64,3,96,0.3,0.01,32,27.877981185913086,GA
64,3,64,0.4,0.01,32,27.605758666992188,GA
128,5,64,0.3,0.0005,48,644.2941284179688,GA
96,3,128,0.3,0.001,32,27.608272552490234,GA
128,2,128,0.3,0.01,48,28.021785736083984,GA
64,5,128,0.5,0.001,32,27.467721939086914,GA
64,2,32,0.3,0.001,48,555.4238891601562,GA
32,4,128,0.2,0.005,32,27.770296096801758,GA
128,4,64,0.4,0.01,16,27.435688018798828,GA
32,2,128,0.4,0.005,48,27.11292839050293,GA
64,5,128,0.5,0.005,48,27.719289779663086,GA
32,2,128,0.1,0.005,32,27.18902015686035,GA
64,5,128,0.4,0.001,32,27.1505069732666,GA
128,2,64,0.4,0.01,32,27.759031295776367,GA
32,2,64,0.4,0.0001,48,985.0324096679688,GA
64,5,64,0.4,0.001,32,29.580036163330078,GA
32,2,128,0.4,0.005,32,27.165027618408203,GA
32,2,128,0.4,0.001,48,50.12282943725586,GA
64,4,128,0.3,0.001,48,36.13996505737305,GA
32,2,128,0.4,0.005,48,27.61113929748535,GA
64,5,128,0.4,0.001,32,27.653974533081055,GA
32,2,32,0.4,0.005,32,27.705278396606445,GA
64,5,128,0.4,0.01,32,27.76031494140625,GA
32,2,96,0.5,0.001,32,27.515710830688477,GA
32,2,128,0.4,0.005,32,27.4129581451416,GA
32,2,128,0.4,0.001,32,27.044225692749023,GA
64,5,128,0.4,0.005,48,27.367136001586914,GA
64,2,128,0.4,0.005,32,27.405254364013672,GA
96,2,128,0.5,0.005,48,27.61922836303711,GA
32,2,128,0.4,0.001,32,26.470932006835938,GA
64,5,128,0.4,0.005,48,27.851797103881836,GA
32,2,32,0.4,0.005,32,27.831172943115234,GA
32,2,96,0.5,0.001,48,63.41585922241211,GA
32,2,128,0.4,0.001,32,27.861536026000977,GA
96,3,128,0.5,0.0001,32,848.5293579101562,GA
16,2,96,0.5,0.001,32,55.02534103393555,GA
64,5,128,0.5,0.001,32,28.474008560180664,GA
32,2,128,0.4,0.005,32,27.236738204956055,GA
64,2,128,0.4,0.005,32,27.36741065979004,GA
32,2,128,0.4,0.001,32,27.139436721801758,GA
32,2,128,0.4,0.001,32,27.325183868408203,GA
64,2,128,0.4,0.01,48,27.499046325683594,GA
32,2,64,0.4,0.005,32,27.696496963500977,GA
64,2,128,0.4,0.01,32,27.704500198364258,GA
32,2,128,0.4,0.01,32,27.020244598388672,GA
96,2,128,0.4,0.005,32,27.29118537902832,GA
64,2,128,0.4,0.005,48,27.219541549682617,GA
32,2,32,0.4,0.005,16,27.50795555114746,GA
32,2,128,0.4,0.001,32,26.692276000976562,GA
32,2,128,0.4,0.001,32,26.906408309936523,GA
32,4,128,0.5,0.0001,32,829.13232421875,GA
32,4,96,0.4,0.0005,16,31.55413246154785,GA
32,2,128,0.2,0.01,32,26.514039993286133,GA
96,4,128,0.4,0.005,48,27.811599731445312,GA
32,2,128,0.4,0.01,32,27.41964340209961,GA
32,2,128,0.3,0.001,32,26.73219871520996,GA
16,2,128,0.4,0.01,48,26.465805053710938,GA
64,2,128,0.4,0.001,32,27.385671615600586,GA
32,4,128,0.4,0.005,48,27.735347747802734,GA
16,2,128,0.4,0.01,48,26.805156707763672,GA
32,2,64,0.2,0.01,48,27.62445068359375,GA
16,2,128,0.4,0.001,32,26.195154190063477,GA
16,2,128,0.4,0.01,48,26.007831573486328,GA
32,2,128,0.4,0.001,32,26.323057174682617,GA
128,2,128,0.3,0.01,32,27.61440086364746,GA
16,2,128,0.4,0.01,48,27.41988182067871,GA
16,5,128,0.3,0.001,16,27.392459869384766,GA
32,2,128,0.2,0.001,32,26.008060455322266,GA
96,2,128,0.4,0.001,64,134.71620178222656,GA
16,2,128,0.4,0.01,48,27.45694351196289,GA
32,2,128,0.2,0.001,32,26.816646575927734,GA
16,2,128,0.4,0.01,48,27.19841766357422,GA
32,2,128,0.4,0.01,32,27.219982147216797,GA
16,2,128,0.2,0.001,32,25.843379974365234,GA
16,2,32,0.4,0.01,32,27.3350772857666,GA
128,2,128,0.4,0.001,48,28.540788650512695,GA
16,2,128,0.4,0.01,48,26.671361923217773,GA
16,2,128,0.4,0.001,48,85.85276794433594,GA
16,2,32,0.2,0.01,48,27.967025756835938,GA
16,2,128,0.2,0.001,32,45.525489807128906,GA
16,2,128,0.4,0.001,48,26.822683334350586,GA
32,3,128,0.4,0.01,32,27.697782516479492,GA
32,2,128,0.2,0.001,32,26.728771209716797,GA
16,2,32,0.2,0.001,32,761.7979736328125,GA
16,2,128,0.4,0.01,48,26.094953536987305,GA
16,2,128,0.4,0.01,48,27.241426467895508,GA
16,2,128,0.4,0.01,48,27.17983627319336,GA
16,5,128,0.4,0.01,32,27.035667419433594,GA
32,4,128,0.4,0.01,32,27.817989349365234,GA
16,2,128,0.4,0.01,48,26.803125381469727,GA
32,4,128,0.5,0.01,32,26.837671279907227,GA
128,2,128,0.2,0.001,48,106.64492797851562,GA
16,4,128,0.4,0.01,32,27.605762481689453,GA
16,2,128,0.4,0.001,32,25.452011108398438,GA
16,2,128,0.2,0.001,48,77.16575622558594,GA
32,2,128,0.4,0.001,32,26.757408142089844,GA
16,2,128,0.4,0.01,48,26.608726501464844,GA
16,2,96,0.4,0.01,48,27.56943130493164,GA
32,2,128,0.2,0.001,64,253.10031127929688,GA
