dataset,generation,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,1,32,3,96,0.5,0.01,48,1.519012212753296,0.384375,0.42516561275380227,0.39475355611667895,0.3275054300935535,4,GA
Haaglanden,1,128,3,64,0.1,0.01,32,1.4453251361846924,0.32265625,0.36686649956711426,0.3355710504386292,0.2911925721965687,4,GA
Haaglanden,1,128,2,128,0.1,0.001,48,2.065455198287964,0.2015625,0.24021909233176836,0.20074074074074075,0.06844669879923555,3,GA
Haaglanden,1,96,2,96,0.2,0.0001,32,1.357191562652588,0.396875,0.33077640189558477,0.39455937800484053,0.32564794440445355,4,GA
Haaglanden,1,128,4,64,0.2,0.005,32,1.228075385093689,0.46875,0.4636034794295144,0.4645707596818429,0.42967956738407126,4,GA
Haaglanden,1,32,2,32,0.3,0.0001,16,1.5482690334320068,0.321875,0.30247565967137063,0.32825615121837043,0.29958846297286723,4,GA
Haaglanden,1,128,2,32,0.3,0.0005,48,1.40403413772583,0.3734375,0.3219069645912894,0.3734399848395079,0.30078855151138206,4,GA
Haaglanden,1,64,2,64,0.3,0.01,16,1.3648643493652344,0.4125,0.3646762676813632,0.4152756868471692,0.3321867434318689,4,GA
Haaglanden,1,64,3,96,0.4,0.0001,48,1.5740854740142822,0.3421875,0.31773497877830775,0.3430553151727998,0.29892053100344895,4,GA
Haaglanden,1,96,3,32,0.3,0.005,16,1.2808325290679932,0.44453125,0.44786661103493464,0.44233969754868463,0.3986887952680519,4,GA
Haaglanden,2,128,4,64,0.2,0.005,32,1.3583904504776,0.375,0.4463532317006946,0.37356145095946774,0.3535648176380941,4,GA
Haaglanden,2,96,3,96,0.2,0.005,16,1.3086035251617432,0.4109375,0.3320250553686605,0.41085696609482225,0.33047007218382773,4,GA
Haaglanden,2,96,3,32,0.2,0.0001,32,1.4791523218154907,0.36796875,0.29920877270937163,0.3680942329480047,0.27353506905124336,4,GA
Haaglanden,2,16,3,96,0.2,0.005,32,1.3126494884490967,0.421875,0.43169755486372674,0.4171461303330263,0.3721448030182452,4,GA
Haaglanden,2,96,4,64,0.5,0.005,32,1.2593625783920288,0.47421875,0.44856005651460207,0.47742225343204386,0.42322297749587123,4,GA
Haaglanden,2,96,4,64,0.5,0.005,32,1.560559630393982,0.315625,0.26949461252905194,0.31382998035062803,0.24733043188412346,3,GA
Haaglanden,2,96,3,32,0.2,0.005,16,1.3397164344787598,0.428125,0.4267823337082216,0.4263615831219697,0.3937579504850685,4,GA
Haaglanden,2,96,2,64,0.3,0.01,16,1.334943413734436,0.39921875,0.3380783900783901,0.3984245963046013,0.30723753006973836,4,GA
Haaglanden,2,128,5,128,0.2,0.01,16,1.3781543970108032,0.3328125,0.4096471162203117,0.3470440317848376,0.30226990147281685,4,GA
Haaglanden,2,128,4,64,0.2,0.005,32,1.2504637241363525,0.4671875,0.44938920811042865,0.46511808963296347,0.4338207686045026,4,GA
Haaglanden,3,128,4,64,0.2,0.005,32,1.2616991996765137,0.45234375,0.437438354614046,0.45717516580576695,0.43776817866671996,4,GA
Haaglanden,3,96,2,64,0.5,0.01,32,1.5900205373764038,0.22265625,0.2375309082608786,0.23673369221756319,0.1699685137847232,4,GA
Haaglanden,3,128,4,64,0.2,0.001,32,1.4864850044250488,0.371875,0.37555749328419397,0.3642660807089074,0.3145812794803338,4,GA
Haaglanden,3,128,4,64,0.2,0.005,32,1.3455302715301514,0.43984375,0.422482289808017,0.43264676643865807,0.36990067581780284,4,GA
Haaglanden,3,128,4,64,0.2,0.005,32,1.2170549631118774,0.47734375,0.4530725735797135,0.474248970949109,0.4495265726340838,4,GA
Haaglanden,3,128,5,64,0.2,0.005,32,1.2641551494598389,0.4515625,0.4070079972632836,0.4498985122582462,0.40425155866462525,4,GA
Haaglanden,3,128,4,64,0.5,0.005,32,1.3369388580322266,0.42109375,0.36375617622090656,0.4185269529602403,0.36544858570124344,4,GA
Haaglanden,3,16,3,96,0.2,0.0001,32,1.3375873565673828,0.43515625,0.3956163438193421,0.4332934699120214,0.37300199256489563,4,GA
Haaglanden,3,96,4,32,0.5,0.005,16,1.3290942907333374,0.4671875,0.46108605348285847,0.46979002097365347,0.4322017728019105,4,GA
Haaglanden,3,96,3,96,0.2,0.005,32,1.3846514225006104,0.4375,0.42171524449935127,0.4378538116017719,0.4040170967137063,4,GA
Haaglanden,4,128,4,64,0.2,0.005,32,1.3089326620101929,0.44296875,0.4144265576992344,0.4432677848103981,0.38286045597480733,4,GA
Haaglanden,4,32,3,64,0.5,0.005,32,1.2947123050689697,0.4234375,0.3890287902605415,0.42267329047924,0.3528832161815608,4,GA
Haaglanden,4,32,5,64,0.4,0.005,32,1.3301762342453003,0.4140625,0.3833135699859171,0.42377669390597716,0.3596346114283738,4,GA
