dataset,generation,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,1,96,5,128,0.3,0.001,48,1.0178788900375366,0.55390625,0.5567424122381578,0.5339651165777122,0.48272508604326775,4,GA
Sleep-EDF,1,64,4,96,0.1,0.01,48,1.0353506803512573,0.57734375,0.5617492289329622,0.5622033886411282,0.5410164610125784,4,GA
Sleep-EDF,1,128,2,64,0.1,0.0001,16,0.9029088020324707,0.63359375,0.6104551421685416,0.6204973125655447,0.6112347995442884,4,GA
Sleep-EDF,1,128,4,32,0.3,0.0005,64,1.4163490533828735,0.3765625,0.3936960372919168,0.35408533074503507,0.2879018376390519,4,GA
Sleep-EDF,1,32,2,32,0.1,0.001,48,0.9982215762138367,0.5703125,0.5681645564457887,0.5553467040091367,0.5399329880377619,4,GA
Sleep-EDF,1,128,5,128,0.2,0.0005,16,0.8865024447441101,0.60546875,0.5920163484887556,0.5892701180357529,0.5816695647380123,4,GA
Sleep-EDF,1,96,3,96,0.1,0.0005,48,1.0769530534744263,0.54140625,0.5353806740621191,0.5247479231707832,0.5102981620037965,4,GA
Sleep-EDF,1,16,3,64,0.3,0.01,32,1.1168620586395264,0.55,0.5398234929370334,0.542010720863397,0.5253259854922387,4,GA
Sleep-EDF,1,64,4,96,0.1,0.0001,64,1.3891196250915527,0.415625,0.38242396755650016,0.39305315556624876,0.3018104988853088,4,GA
Sleep-EDF,1,96,2,128,0.1,0.0001,32,1.0031425952911377,0.58359375,0.5647124735847197,0.5680252070044778,0.5544870250340196,4,GA
Sleep-EDF,2,128,5,128,0.2,0.0005,16,0.8086937665939331,0.6640625,0.654998946813832,0.6470517595544741,0.6255705589363644,4,GA
Sleep-EDF,2,32,2,32,0.1,0.0001,16,1.0963407754898071,0.53125,0.4907301995917745,0.5191364821991965,0.4855949430114606,4,GA
Sleep-EDF,2,128,2,64,0.1,0.001,16,0.941136360168457,0.56875,0.5709551097480057,0.5605406588139339,0.5427313170028127,4,GA
Sleep-EDF,2,128,5,128,0.2,0.0005,64,1.547788381576538,0.3578125,0.565682323665855,0.33479167965342105,0.2561208252297095,4,GA
Sleep-EDF,2,96,2,128,0.4,0.0001,16,1.2142398357391357,0.5,0.442743410838637,0.48109561436750126,0.41032536428620003,4,GA
Sleep-EDF,2,96,5,128,0.5,0.001,48,1.0897141695022583,0.5359375,0.5176903813916083,0.5245247467680468,0.4827963514685926,4,GA
Sleep-EDF,2,96,2,64,0.1,0.0001,16,1.0089068412780762,0.55546875,0.5292897483343809,0.5400428292819018,0.5227632923888584,4,GA
Sleep-EDF,2,32,2,64,0.1,0.0005,16,0.9498966932296753,0.60703125,0.5939169163979444,0.5933277718000121,0.5857937655474259,4,GA
Sleep-EDF,2,96,5,32,0.1,0.0005,16,0.8735858201980591,0.62265625,0.6043968082226924,0.6106882282537265,0.605748302373047,4,GA
Sleep-EDF,2,96,2,64,0.1,0.0001,64,1.4728033542633057,0.346875,0.3971804861804862,0.3236589778922771,0.24991062945067077,4,GA
Sleep-EDF,3,128,5,128,0.2,0.0005,16,0.9035145044326782,0.615625,0.5994741749449926,0.5992353709644772,0.587923309521768,4,GA
Sleep-EDF,3,96,4,32,0.5,0.0005,16,0.9554488062858582,0.59609375,0.5666570944166203,0.5797086542468264,0.5605284893118729,4,GA
Sleep-EDF,3,128,5,128,0.2,0.0005,16,0.784666895866394,0.65859375,0.6492457981673253,0.643982473008072,0.63007159473906,4,GA
Sleep-EDF,3,16,5,64,0.1,0.0005,16,0.8567537069320679,0.6421875,0.6096967890248755,0.6253914938613174,0.603370628596046,4,GA
Sleep-EDF,3,128,5,32,0.1,0.01,16,1.0727293491363525,0.52890625,0.48384967502017495,0.5190435867987084,0.469550081994574,4,GA
Sleep-EDF,3,32,2,128,0.1,0.0001,32,0.9778850674629211,0.57578125,0.5490319695059263,0.5587640089532449,0.542138000344597,4,GA
