filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,method
16,1,32,0.1,0.01,16,20.57766342163086,Grid Search
16,1,32,0.1,0.01,32,23.7376708984375,Grid Search
16,1,32,0.1,0.01,64,24.216604232788086,Grid Search
16,1,32,0.1,0.001,16,23.959716796875,Grid Search
16,1,32,0.1,0.001,32,355.1294860839844,Grid Search
16,1,32,0.1,0.001,64,781.57275390625,Grid Search
16,1,32,0.1,0.0001,16,986.38525390625,Grid Search
16,1,32,0.1,0.0001,32,972.008544921875,Grid Search
16,1,32,0.1,0.0001,64,1004.0546875,Grid Search
16,1,32,0.3,0.01,16,22.04844856262207,Grid Search
16,1,32,0.3,0.01,32,23.749202728271484,Grid Search
16,1,32,0.3,0.01,64,24.727428436279297,Grid Search
16,1,32,0.3,0.001,16,30.23387908935547,Grid Search
16,1,32,0.3,0.001,32,405.91314697265625,Grid Search
16,1,32,0.3,0.001,64,890.193115234375,Grid Search
16,1,32,0.3,0.0001,16,956.505859375,Grid Search
16,1,32,0.3,0.0001,32,993.0204467773438,Grid Search
16,1,32,0.3,0.0001,64,993.8668823242188,Grid Search
16,1,32,0.5,0.01,16,23.668550491333008,Grid Search
16,1,32,0.5,0.01,32,24.125473022460938,Grid Search
16,1,32,0.5,0.01,64,24.233074188232422,Grid Search
16,1,32,0.5,0.001,16,23.798038482666016,Grid Search
16,1,32,0.5,0.001,32,366.1421203613281,Grid Search
16,1,32,0.5,0.001,64,899.2557373046875,Grid Search
16,1,32,0.5,0.0001,16,919.9114379882812,Grid Search
16,1,32,0.5,0.0001,32,949.53173828125,Grid Search
16,1,32,0.5,0.0001,64,1003.1226196289062,Grid Search
16,1,64,0.1,0.01,16,20.58667755126953,Grid Search
16,1,64,0.1,0.01,32,22.879520416259766,Grid Search
16,1,64,0.1,0.01,64,24.03947639465332,Grid Search
16,1,64,0.1,0.001,16,23.102487564086914,Grid Search
16,1,64,0.1,0.001,32,34.92289352416992,Grid Search
16,1,64,0.1,0.001,64,384.41937255859375,Grid Search
16,1,64,0.1,0.0001,16,864.67529296875,Grid Search
16,1,64,0.1,0.0001,32,893.2930908203125,Grid Search
16,1,64,0.1,0.0001,64,993.6002197265625,Grid Search
16,1,64,0.3,0.01,16,21.569894790649414,Grid Search
16,1,64,0.3,0.01,32,23.0284481048584,Grid Search
16,1,64,0.3,0.01,64,23.80527114868164,Grid Search
16,1,64,0.3,0.001,16,23.55868148803711,Grid Search
16,1,64,0.3,0.001,32,31.391555786132812,Grid Search
16,1,64,0.3,0.001,64,449.0040283203125,Grid Search
16,1,64,0.3,0.0001,16,870.70166015625,Grid Search
16,1,64,0.3,0.0001,32,946.437744140625,Grid Search
16,1,64,0.3,0.0001,64,911.2078247070312,Grid Search
16,1,64,0.5,0.01,16,23.761783599853516,Grid Search
16,1,64,0.5,0.01,32,23.744054794311523,Grid Search
16,1,64,0.5,0.01,64,23.984535217285156,Grid Search
16,1,64,0.5,0.001,16,24.082538604736328,Grid Search
16,1,64,0.5,0.001,32,31.42585563659668,Grid Search
16,1,64,0.5,0.001,64,549.5253295898438,Grid Search
16,1,64,0.5,0.0001,16,900.3464965820312,Grid Search
16,1,64,0.5,0.0001,32,893.501708984375,Grid Search
16,1,64,0.5,0.0001,64,1033.4561767578125,Grid Search
16,2,32,0.1,0.01,16,22.607059478759766,Grid Search
16,2,32,0.1,0.01,32,23.278425216674805,Grid Search
16,2,32,0.1,0.01,64,23.84182357788086,Grid Search
16,2,32,0.1,0.001,16,67.13053131103516,Grid Search
16,2,32,0.1,0.001,32,510.951171875,Grid Search
16,2,32,0.1,0.001,64,861.9932861328125,Grid Search
16,2,32,0.1,0.0001,16,959.0098266601562,Grid Search
16,2,32,0.1,0.0001,32,993.8499145507812,Grid Search
16,2,32,0.1,0.0001,64,969.2274780273438,Grid Search
16,2,32,0.3,0.01,16,23.68207359313965,Grid Search
16,2,32,0.3,0.01,32,22.89152717590332,Grid Search
16,2,32,0.3,0.01,64,23.528547286987305,Grid Search
16,2,32,0.3,0.001,16,64.53523254394531,Grid Search
16,2,32,0.3,0.001,32,402.34613037109375,Grid Search
16,2,32,0.3,0.001,64,800.9503784179688,Grid Search
16,2,32,0.3,0.0001,16,963.9480590820312,Grid Search
16,2,32,0.3,0.0001,32,992.0910034179688,Grid Search
16,2,32,0.3,0.0001,64,998.4281616210938,Grid Search
16,2,32,0.5,0.01,16,22.987516403198242,Grid Search
16,2,32,0.5,0.01,32,23.660451889038086,Grid Search
16,2,32,0.5,0.01,64,23.873865127563477,Grid Search
16,2,32,0.5,0.001,16,163.24671936035156,Grid Search
16,2,32,0.5,0.001,32,829.0614013671875,Grid Search
16,2,32,0.5,0.001,64,821.852783203125,Grid Search
16,2,32,0.5,0.0001,16,979.5415649414062,Grid Search
16,2,32,0.5,0.0001,32,1006.15966796875,Grid Search
16,2,32,0.5,0.0001,64,1005.093505859375,Grid Search
16,2,64,0.1,0.01,16,22.894447326660156,Grid Search
16,2,64,0.1,0.01,32,23.665409088134766,Grid Search
16,2,64,0.1,0.01,64,23.978519439697266,Grid Search
16,2,64,0.1,0.001,16,23.695600509643555,Grid Search
16,2,64,0.1,0.001,32,131.244384765625,Grid Search
16,2,64,0.1,0.001,64,540.975341796875,Grid Search
16,2,64,0.1,0.0001,16,975.8942260742188,Grid Search
16,2,64,0.1,0.0001,32,963.7720947265625,Grid Search
16,2,64,0.1,0.0001,64,1050.9525146484375,Grid Search
16,2,64,0.3,0.01,16,23.002445220947266,Grid Search
16,2,64,0.3,0.01,32,23.843488693237305,Grid Search
16,2,64,0.3,0.01,64,23.929468154907227,Grid Search
16,2,64,0.3,0.001,16,23.363967895507812,Grid Search
16,2,64,0.3,0.001,32,262.1163330078125,Grid Search
16,2,64,0.3,0.001,64,504.4272155761719,Grid Search
16,2,64,0.3,0.0001,16,869.7289428710938,Grid Search
16,2,64,0.3,0.0001,32,908.3436279296875,Grid Search
16,2,64,0.3,0.0001,64,993.7298583984375,Grid Search
16,2,64,0.5,0.01,16,21.791616439819336,Grid Search
16,2,64,0.5,0.01,32,23.11144256591797,Grid Search
16,2,64,0.5,0.01,64,23.971818923950195,Grid Search
16,2,64,0.5,0.001,16,22.918298721313477,Grid Search
16,2,64,0.5,0.001,32,291.1767883300781,Grid Search
16,2,64,0.5,0.001,64,709.8171997070312,Grid Search
16,2,64,0.5,0.0001,16,949.4148559570312,Grid Search
16,2,64,0.5,0.0001,32,988.2730102539062,Grid Search
16,2,64,0.5,0.0001,64,987.004638671875,Grid Search
16,5,32,0.1,0.01,16,21.370386123657227,Grid Search
16,5,32,0.1,0.01,32,21.41364860534668,Grid Search
16,5,32,0.1,0.01,64,24.04265785217285,Grid Search
16,5,32,0.1,0.001,16,130.2191162109375,Grid Search
16,5,32,0.1,0.001,32,417.8226623535156,Grid Search
16,5,32,0.1,0.001,64,806.5100708007812,Grid Search
16,5,32,0.1,0.0001,16,969.2482299804688,Grid Search
16,5,32,0.1,0.0001,32,962.3379516601562,Grid Search
16,5,32,0.1,0.0001,64,952.1622314453125,Grid Search
16,5,32,0.3,0.01,16,19.977394104003906,Grid Search
16,5,32,0.3,0.01,32,18.629507064819336,Grid Search
16,5,32,0.3,0.01,64,22.596105575561523,Grid Search
16,5,32,0.3,0.001,16,22.837617874145508,Grid Search
16,5,32,0.3,0.001,32,395.1025390625,Grid Search
16,5,32,0.3,0.001,64,719.1592407226562,Grid Search
16,5,32,0.3,0.0001,16,938.8430786132812,Grid Search
16,5,32,0.3,0.0001,32,999.7061767578125,Grid Search
16,5,32,0.3,0.0001,64,1008.92236328125,Grid Search
16,5,32,0.5,0.01,16,23.571334838867188,Grid Search
16,5,32,0.5,0.01,32,21.88679313659668,Grid Search
16,5,32,0.5,0.01,64,23.731298446655273,Grid Search
16,5,32,0.5,0.001,16,38.29326248168945,Grid Search
16,5,32,0.5,0.001,32,758.6771850585938,Grid Search
16,5,32,0.5,0.001,64,842.12939453125,Grid Search
16,5,32,0.5,0.0001,16,933.2052612304688,Grid Search
16,5,32,0.5,0.0001,32,990.2642211914062,Grid Search
16,5,32,0.5,0.0001,64,1035.7322998046875,Grid Search
16,5,64,0.1,0.01,16,22.711671829223633,Grid Search
16,5,64,0.1,0.01,32,19.879886627197266,Grid Search
16,5,64,0.1,0.01,64,24.17836570739746,Grid Search
16,5,64,0.1,0.001,16,29.90342903137207,Grid Search
16,5,64,0.1,0.001,32,55.98185348510742,Grid Search
16,5,64,0.1,0.001,64,668.6068725585938,Grid Search
16,5,64,0.1,0.0001,16,839.9920043945312,Grid Search
16,5,64,0.1,0.0001,32,947.633544921875,Grid Search
16,5,64,0.1,0.0001,64,1003.8321533203125,Grid Search
16,5,64,0.3,0.01,16,23.223800659179688,Grid Search
16,5,64,0.3,0.01,32,23.837169647216797,Grid Search
16,5,64,0.3,0.01,64,24.18685531616211,Grid Search
