dataset,trial,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,1,16,2,32,0.1,0.01,16,1.273954153060913,0.45078125,0.4356060186826613,0.4548148823032719,0.3972602910447597,4,Grid Search
Haaglanden,2,16,2,32,0.1,0.01,64,1.5714399814605713,0.34921875,0.4068220818862634,0.3460703982506418,0.30725841784373625,4,Grid Search
Haaglanden,3,16,2,32,0.1,0.001,16,1.1955879926681519,0.48359375,0.4501984952634504,0.47774967780992633,0.4471427217522915,4,Grid Search
Haaglanden,4,16,2,32,0.1,0.001,64,1.3288495540618896,0.38984375,0.34537756849821744,0.39260469994999936,0.31888211889955487,4,Grid Search
Haaglanden,5,16,2,32,0.1,0.0001,16,1.4969148635864258,0.33515625,0.3155221126679352,0.3386279634365489,0.2513443710400396,4,Grid Search
Haaglanden,6,16,2,32,0.1,0.0001,64,1.5797646045684814,0.296875,0.27953003803976345,0.2977618869384904,0.24037507919515816,4,Grid Search
Haaglanden,7,16,2,32,0.3,0.01,16,1.406402587890625,0.34296875,0.33813256426103605,0.3475484893346071,0.3034756388922006,4,Grid Search
Haaglanden,8,16,2,32,0.3,0.01,64,1.475382924079895,0.359375,0.2583585870263327,0.35297881539126674,0.269121999154399,4,Grid Search
Haaglanden,9,16,2,32,0.3,0.001,16,1.2961156368255615,0.45390625,0.43633401450515824,0.4529062875567206,0.4132398803637417,4,Grid Search
Haaglanden,10,16,2,32,0.3,0.001,64,1.4536820650100708,0.3609375,0.3083180055238879,0.3625756641182774,0.2406484921046672,4,Grid Search
Haaglanden,11,16,2,32,0.3,0.0001,16,1.5249364376068115,0.33515625,0.285887896630722,0.33536714070666623,0.2772723631507931,4,Grid Search
Haaglanden,12,16,2,32,0.3,0.0001,64,1.6117849349975586,0.1921875,0.1561501844260465,0.19953237014740716,0.12728566008079853,3,Grid Search
Haaglanden,13,16,2,64,0.1,0.01,16,1.4212000370025635,0.38515625,0.29401016586409845,0.3858662558988905,0.2983705129129198,4,Grid Search
Haaglanden,14,16,2,64,0.1,0.01,64,1.472538709640503,0.36796875,0.3825916638596754,0.3588777383957502,0.2990781117784613,4,Grid Search
Haaglanden,15,16,2,64,0.1,0.001,16,1.1969878673553467,0.49140625,0.47500165415316686,0.49019059781329144,0.4770140461314759,4,Grid Search
Haaglanden,16,16,2,64,0.1,0.001,64,1.4754356145858765,0.390625,0.4331887406058693,0.39031180403089527,0.34383855101953537,3,Grid Search
Haaglanden,17,16,2,64,0.1,0.0001,16,1.326560616493225,0.41796875,0.36458670368934876,0.41713578754748576,0.3611886154509901,4,Grid Search
Haaglanden,18,16,2,64,0.1,0.0001,64,1.5802814960479736,0.28984375,0.2657608999493816,0.2887111801144687,0.23148517816552355,4,Grid Search
Haaglanden,19,16,2,64,0.3,0.01,16,1.4398884773254395,0.3515625,0.30489191858208997,0.3528544553447277,0.22349933372124675,4,Grid Search
