dataset,trial,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,1,16,2,32,0.1,0.01,16,1.2369617223739624,0.43984375,0.4566516869706098,0.44449300475088827,0.41220663617002007,4,Grid Search
Sleep-EDF,2,16,2,32,0.1,0.01,64,1.1512848138809204,0.48515625,0.4818188565944941,0.4707272299195295,0.45555015426299167,4,Grid Search
Sleep-EDF,3,16,2,32,0.1,0.001,16,0.9414061307907104,0.596875,0.5735593823202048,0.5802789576056021,0.5655719663804755,4,Grid Search
Sleep-EDF,4,16,2,32,0.1,0.001,64,1.1471506357192993,0.515625,0.516444723313378,0.5028713988771678,0.459337886873519,4,Grid Search
Sleep-EDF,5,16,2,32,0.1,0.0001,16,1.2902485132217407,0.45546875,0.43884520789324927,0.43901427765437023,0.3960371926309608,4,Grid Search
Sleep-EDF,6,16,2,32,0.1,0.0001,64,1.426344633102417,0.38046875,0.3338413874471167,0.357632932497011,0.26300271255996577,4,Grid Search
Sleep-EDF,7,16,2,32,0.3,0.01,16,0.9590140581130981,0.5875,0.5752048012089819,0.5685949530091403,0.5049460293189828,4,Grid Search
Sleep-EDF,8,16,2,32,0.3,0.01,64,1.129876971244812,0.49140625,0.469510941427507,0.48307885753724455,0.4470101864730648,4,Grid Search
Sleep-EDF,9,16,2,32,0.3,0.001,16,0.9922376871109009,0.56953125,0.5344000308056638,0.5514462719314907,0.4945860998213048,4,Grid Search
Sleep-EDF,10,16,2,32,0.3,0.001,64,1.1759096384048462,0.49140625,0.4509234557251137,0.4718290629468845,0.43466383275615755,4,Grid Search
Sleep-EDF,11,16,2,32,0.3,0.0001,16,1.3406660556793213,0.42734375,0.45886226497335797,0.40748599240945815,0.3051624507576789,4,Grid Search
Sleep-EDF,12,16,2,32,0.3,0.0001,64,1.5384162664413452,0.34375,0.31071881457213335,0.32929617107330633,0.27891647383098145,4,Grid Search
Sleep-EDF,13,16,2,64,0.1,0.01,16,0.988507866859436,0.5375,0.5409471829494222,0.5296384268805225,0.5076343751884466,4,Grid Search
Sleep-EDF,14,16,2,64,0.1,0.01,64,1.2228763103485107,0.40859375,0.37947874745909077,0.41270952585681187,0.3469455650571011,4,Grid Search
Sleep-EDF,15,16,2,64,0.1,0.001,16,0.968285858631134,0.57109375,0.5476489368751964,0.5572651201601839,0.5382368779020863,4,Grid Search
Sleep-EDF,16,16,2,64,0.1,0.001,64,1.1688703298568726,0.4828125,0.4862516560903667,0.46844165793641934,0.4602484432017966,4,Grid Search
Sleep-EDF,17,16,2,64,0.1,0.0001,16,1.0142797231674194,0.55546875,0.5314482354533958,0.5384773712579995,0.5198983577028016,4,Grid Search
Sleep-EDF,18,16,2,64,0.1,0.0001,64,1.331468105316162,0.41796875,0.40226031448527244,0.39526865456033056,0.3057959378453822,4,Grid Search
Sleep-EDF,19,16,2,64,0.3,0.01,16,1.1278719902038574,0.521875,0.4893241168940784,0.50965606079757,0.4817855072602475,4,Grid Search
Sleep-EDF,20,16,2,64,0.3,0.01,64,1.5004311800003052,0.30078125,0.2109880768334052,0.30708510635523056,0.23078509954130605,3,Grid Search
Sleep-EDF,21,16,2,64,0.3,0.001,16,1.1141777038574219,0.50625,0.4698447463238823,0.48658548951216557,0.4336151679629941,4,Grid Search
Sleep-EDF,22,16,2,64,0.3,0.001,64,1.1874650716781616,0.46640625,0.41881802034191234,0.4463656060770395,0.38953931326359414,4,Grid Search
Sleep-EDF,23,16,2,64,0.3,0.0001,16,1.178213357925415,0.5109375,0.45769182976538714,0.49248048374380743,0.43352714664878655,4,Grid Search
Sleep-EDF,24,16,2,64,0.3,0.0001,64,1.5738186836242676,0.259375,0.3669906453670581,0.2643334054778931,0.24369625307586773,4,Grid Search
Sleep-EDF,25,16,5,32,0.1,0.01,16,0.9848370552062988,0.5625,0.5678094844140489,0.5431963213591462,0.4573931828898104,4,Grid Search
Sleep-EDF,26,16,5,32,0.1,0.01,64,1.11642324924469,0.5625,0.6083561005702471,0.5578500741526466,0.5650247537426746,4,Grid Search
Sleep-EDF,27,16,5,32,0.1,0.001,16,0.9065990447998047,0.6203125,0.5969628645347029,0.6087149539586265,0.592459840206319,4,Grid Search
Sleep-EDF,28,16,5,32,0.1,0.001,64,1.0652832984924316,0.55703125,0.5190449718617449,0.5367315256296394,0.5097381050093699,4,Grid Search
Sleep-EDF,29,16,5,32,0.1,0.0001,16,1.0757964849472046,0.53984375,0.4979482438944548,0.5251048650118728,0.500213353963744,4,Grid Search
Sleep-EDF,30,16,5,32,0.1,0.0001,64,1.409242868423462,0.38828125,0.2788106956213012,0.36671403804379993,0.25813744762087143,4,Grid Search
Sleep-EDF,31,16,5,32,0.3,0.01,16,1.0952608585357666,0.49765625,0.428984471758236,0.4866323272443533,0.40024150413907966,4,Grid Search
Sleep-EDF,32,16,5,32,0.3,0.01,64,1.0973434448242188,0.5296875,0.5627201017981638,0.5207165737330467,0.4890791507970598,4,Grid Search
Sleep-EDF,33,16,5,32,0.3,0.001,16,0.8761688470840454,0.63828125,0.6305682212830355,0.6198544757242235,0.5768537213088126,4,Grid Search
Sleep-EDF,34,16,5,32,0.3,0.001,64,1.012981653213501,0.58046875,0.5473850740574878,0.5630183544070266,0.5162673032869547,4,Grid Search
Sleep-EDF,35,16,5,32,0.3,0.0001,16,1.226886510848999,0.4953125,0.4684215423064959,0.47755826431357906,0.4264304400570406,4,Grid Search
