filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,restart_id,method
16,2,96,0.2,0.0005,32,182.3102569580078,1,Hill Climbing
16,2,128,0.2,0.0005,32,130.22061157226562,1,Hill Climbing
16,2,128,0.2,0.001,32,27.41106414794922,1,Hill Climbing
16,2,128,0.1,0.001,32,28.47172737121582,1,Hill Climbing
16,2,128,0.2,0.001,48,75.69608306884766,1,Hill Climbing
16,2,128,0.2,0.001,16,26.1246280670166,1,Hill Climbing
16,2,128,0.2,0.001,32,25.734159469604492,1,Hill Climbing
16,2,96,0.2,0.001,32,27.592485427856445,1,Hill Climbing
16,2,128,0.1,0.001,32,26.66124725341797,1,Hill Climbing
32,2,128,0.2,0.001,32,37.49332809448242,1,Hill Climbing
16,2,128,0.2,0.005,32,27.270545959472656,1,Hill Climbing
16,2,128,0.2,0.001,16,25.46699333190918,1,Hill Climbing
32,2,128,0.2,0.001,16,27.014554977416992,1,Hill Climbing
16,2,128,0.3,0.001,16,26.973073959350586,1,Hill Climbing
16,2,128,0.1,0.001,16,25.363197326660156,1,Hill Climbing
32,2,128,0.1,0.001,16,26.479345321655273,1,Hill Climbing
16,3,128,0.1,0.001,16,26.344459533691406,1,Hill Climbing
16,2,96,0.1,0.001,16,26.438291549682617,1,Hill Climbing
16,2,128,0.1,0.005,16,27.504545211791992,1,Hill Climbing
16,2,128,0.1,0.0005,16,26.19501304626465,1,Hill Climbing
16,2,128,0.1,0.001,32,26.567136764526367,1,Hill Climbing
16,2,128,0.2,0.001,16,26.22779083251953,1,Hill Climbing
64,5,32,0.1,0.001,48,546.2763061523438,2,Hill Climbing
32,5,32,0.1,0.001,48,582.2557983398438,2,Hill Climbing
64,5,64,0.1,0.001,48,92.91520690917969,2,Hill Climbing
96,5,64,0.1,0.001,48,446.9690856933594,2,Hill Climbing
64,4,64,0.1,0.001,48,329.8971252441406,2,Hill Climbing
64,5,64,0.1,0.005,48,27.882009506225586,2,Hill Climbing
64,4,64,0.1,0.005,48,27.759855270385742,2,Hill Climbing
64,3,64,0.1,0.005,48,27.92837905883789,2,Hill Climbing
96,4,64,0.1,0.005,48,27.54226303100586,2,Hill Climbing
96,4,64,0.1,0.01,48,27.904563903808594,2,Hill Climbing
96,4,64,0.1,0.005,32,27.811683654785156,2,Hill Climbing
96,3,64,0.1,0.005,48,27.826522827148438,2,Hill Climbing
96,4,96,0.1,0.005,48,27.948781967163086,2,Hill Climbing
64,4,64,0.1,0.005,48,27.982799530029297,2,Hill Climbing
96,4,32,0.1,0.005,48,27.837627410888672,2,Hill Climbing
96,4,64,0.2,0.005,48,27.740524291992188,2,Hill Climbing
96,4,64,0.1,0.005,64,27.786678314208984,2,Hill Climbing
128,4,64,0.1,0.005,48,27.8929443359375,2,Hill Climbing
96,5,64,0.1,0.005,48,27.91327476501465,2,Hill Climbing
96,4,64,0.1,0.001,48,280.0558166503906,2,Hill Climbing
128,4,96,0.2,0.001,32,76.189697265625,3,Hill Climbing
128,4,96,0.2,0.001,16,27.657100677490234,3,Hill Climbing
128,4,96,0.3,0.001,16,27.557218551635742,3,Hill Climbing
128,4,96,0.4,0.001,16,27.59493064880371,3,Hill Climbing
128,4,96,0.3,0.001,32,27.729122161865234,3,Hill Climbing
128,4,64,0.3,0.001,16,27.731590270996094,3,Hill Climbing
128,4,96,0.3,0.0005,16,27.942689895629883,3,Hill Climbing
128,4,96,0.3,0.005,16,27.482906341552734,3,Hill Climbing
128,5,96,0.3,0.005,16,27.698646545410156,3,Hill Climbing
128,4,64,0.3,0.005,16,27.623266220092773,3,Hill Climbing
128,4,96,0.4,0.005,16,27.772056579589844,3,Hill Climbing
128,4,96,0.3,0.005,32,27.904499053955078,3,Hill Climbing
128,4,128,0.3,0.005,16,27.808956146240234,3,Hill Climbing
128,4,96,0.3,0.001,16,27.278169631958008,3,Hill Climbing
128,5,96,0.3,0.001,16,26.667953491210938,3,Hill Climbing
128,5,96,0.3,0.0005,16,27.858823776245117,3,Hill Climbing
128,5,64,0.3,0.001,16,27.767423629760742,3,Hill Climbing
128,5,96,0.2,0.001,16,27.55345916748047,3,Hill Climbing
128,5,96,0.3,0.005,16,27.709897994995117,3,Hill Climbing
128,4,96,0.3,0.001,16,27.651941299438477,3,Hill Climbing
128,5,96,0.4,0.001,16,27.523454666137695,3,Hill Climbing
96,5,96,0.3,0.001,16,26.22295570373535,3,Hill Climbing
128,5,96,0.3,0.001,16,27.60166358947754,3,Hill Climbing
96,5,96,0.3,0.0005,16,27.84351348876953,3,Hill Climbing
96,5,96,0.3,0.001,32,27.69586181640625,3,Hill Climbing
96,5,128,0.3,0.001,16,27.255704879760742,3,Hill Climbing
96,4,96,0.3,0.001,16,27.444805145263672,3,Hill Climbing
96,5,96,0.3,0.005,16,27.757646560668945,3,Hill Climbing
64,5,96,0.3,0.001,16,27.67716407775879,3,Hill Climbing
96,5,96,0.4,0.001,16,27.69213104248047,3,Hill Climbing
96,5,96,0.2,0.001,16,26.723413467407227,3,Hill Climbing
96,5,64,0.3,0.001,16,27.450199127197266,3,Hill Climbing
96,2,128,0.4,0.01,32,27.838552474975586,4,Hill Climbing
96,2,128,0.4,0.01,48,27.83171844482422,4,Hill Climbing
64,2,128,0.4,0.01,48,27.688121795654297,4,Hill Climbing
64,2,128,0.5,0.01,48,27.6217041015625,4,Hill Climbing
64,2,96,0.5,0.01,48,27.93121910095215,4,Hill Climbing
64,2,128,0.5,0.01,32,27.503435134887695,4,Hill Climbing
64,3,128,0.5,0.01,32,27.77989959716797,4,Hill Climbing
64,2,128,0.5,0.005,32,27.558008193969727,4,Hill Climbing
96,2,128,0.5,0.01,32,27.805532455444336,4,Hill Climbing
64,2,128,0.5,0.01,48,27.641109466552734,4,Hill Climbing
32,2,128,0.5,0.01,32,26.733150482177734,4,Hill Climbing
32,3,128,0.5,0.01,32,27.59197235107422,4,Hill Climbing
64,2,128,0.5,0.01,32,27.240467071533203,4,Hill Climbing
32,2,128,0.5,0.01,16,25.78798484802246,4,Hill Climbing
32,3,128,0.5,0.01,16,27.192350387573242,4,Hill Climbing
32,2,128,0.5,0.005,16,25.89065170288086,4,Hill Climbing
