dataset,eval,restart_id,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,1,1,16,2,96,0.2,0.0005,32,0.9988049268722534,0.57890625,0.5415935557994864,0.5620180955096645,0.5385337844805023,4,Hill Climbing
Sleep-EDF,2,1,16,2,96,0.2,0.0001,32,1.1528218984603882,0.52265625,0.4815446721506542,0.5042558472180293,0.45869329840556505,4,Hill Climbing
Sleep-EDF,3,1,16,2,96,0.2,0.001,32,1.019416332244873,0.5609375,0.5464973417924668,0.5467750573252647,0.5417734214365919,4,Hill Climbing
Sleep-EDF,4,1,16,2,64,0.2,0.0005,32,0.9764463305473328,0.56796875,0.5520387334670198,0.5518503817745747,0.5441029828307623,4,Hill Climbing
Sleep-EDF,5,1,16,2,32,0.2,0.0005,32,1.0497314929962158,0.55703125,0.5235770730952517,0.5402401295970651,0.5155871358651132,4,Hill Climbing
Sleep-EDF,6,1,16,2,64,0.2,0.0001,32,1.1959306001663208,0.496875,0.44972921335238664,0.47820077191817456,0.4185001906143187,4,Hill Climbing
Sleep-EDF,7,1,16,3,64,0.2,0.0005,32,0.9423301815986633,0.60078125,0.5689510262250224,0.5848335090578318,0.5582021004729784,4,Hill Climbing
Sleep-EDF,8,1,16,4,64,0.2,0.0005,32,1.0257622003555298,0.571875,0.5432543964853117,0.5563017712663725,0.5361614169856164,4,Hill Climbing
Sleep-EDF,9,1,16,3,64,0.2,0.0005,16,0.9124844670295715,0.61875,0.599878728565745,0.6012201559028427,0.5697592150644522,4,Hill Climbing
Sleep-EDF,10,1,32,3,64,0.2,0.0005,16,0.8884865641593933,0.61796875,0.6006269339866896,0.6036865130116366,0.5992399022197175,4,Hill Climbing
Sleep-EDF,11,1,32,3,64,0.3,0.0005,16,0.9161198735237122,0.6109375,0.6028326459771577,0.6004551954440664,0.5974248260463971,4,Hill Climbing
Sleep-EDF,12,1,32,2,64,0.2,0.0005,16,0.9675506353378296,0.575,0.5894315576429285,0.5652635755658384,0.5576339837694033,4,Hill Climbing
Sleep-EDF,13,1,16,3,64,0.2,0.0005,16,0.9126580953598022,0.60625,0.5910401106546174,0.5908599430938164,0.5732610477583513,4,Hill Climbing
Sleep-EDF,14,1,32,4,64,0.2,0.0005,16,0.8679763674736023,0.62890625,0.6222915715812658,0.6156614192177514,0.6055943806016362,4,Hill Climbing
Sleep-EDF,15,1,32,4,32,0.2,0.0005,16,0.8948665857315063,0.62890625,0.6100249824600572,0.6152853806755217,0.6100499660142493,4,Hill Climbing
Sleep-EDF,16,1,32,5,64,0.2,0.0005,16,0.9294157028198242,0.6046875,0.561882145983873,0.5878717422967861,0.5595252116739025,4,Hill Climbing
Sleep-EDF,17,1,16,4,64,0.2,0.0005,16,1.0129241943359375,0.5953125,0.5639162395420688,0.5813044048489242,0.5625562906868995,4,Hill Climbing
Sleep-EDF,18,1,32,4,64,0.3,0.0005,16,1.0667632818222046,0.58828125,0.552110879553658,0.571171139487405,0.5472619184687963,4,Hill Climbing
Sleep-EDF,19,1,32,4,64,0.2,0.001,16,0.9230870008468628,0.59140625,0.5866731547665837,0.5796441628221057,0.570888466852584,4,Hill Climbing
Sleep-EDF,20,1,32,4,96,0.2,0.0005,16,0.8804459571838379,0.61640625,0.6104622429631854,0.6070149705875281,0.595988002337881,4,Hill Climbing
Sleep-EDF,21,1,32,4,64,0.1,0.0005,16,0.8428794741630554,0.6390625,0.6348350677918375,0.6270817863591545,0.6248655298436236,4,Hill Climbing
Sleep-EDF,22,1,32,4,64,0.1,0.001,16,0.8485881686210632,0.63203125,0.6051483066117134,0.617758035951516,0.6075106226669027,4,Hill Climbing
Sleep-EDF,23,1,32,3,64,0.1,0.0005,16,0.8438711166381836,0.634375,0.6037409107539289,0.6184846035200335,0.6049373706335158,4,Hill Climbing
Sleep-EDF,24,1,32,4,32,0.1,0.0005,16,0.8489400148391724,0.64453125,0.6202429027033057,0.629935525761786,0.6192450772073708,4,Hill Climbing
Sleep-EDF,25,1,64,4,64,0.1,0.0005,16,0.7979157567024231,0.6734375,0.6697722269657407,0.658161853270273,0.6468163339426577,4,Hill Climbing
Sleep-EDF,26,1,64,3,64,0.1,0.0005,16,0.9336967468261719,0.5984375,0.5960123611873482,0.585399767298968,0.5680102099448621,4,Hill Climbing
Sleep-EDF,27,1,64,4,64,0.1,0.0005,32,0.8470495343208313,0.6421875,0.6177248594327321,0.6277939160310957,0.6115622618198573,4,Hill Climbing
Sleep-EDF,28,1,32,4,64,0.1,0.0005,16,0.8471593856811523,0.6421875,0.6254622923008339,0.6255984593755795,0.6146897110048636,4,Hill Climbing
Sleep-EDF,29,1,64,4,64,0.1,0.0001,16,0.9204263687133789,0.61171875,0.5836179106372704,0.5974625905482142,0.5845624574536851,4,Hill Climbing
Sleep-EDF,30,1,64,4,32,0.1,0.0005,16,0.854951024055481,0.6234375,0.608695027693744,0.6109200028499708,0.6080299385905236,4,Hill Climbing
Sleep-EDF,31,1,64,4,64,0.2,0.0005,16,0.8927793502807617,0.5984375,0.6107028813301454,0.5811701259782687,0.5679910663373331,4,Hill Climbing
Sleep-EDF,32,1,64,4,64,0.1,0.001,16,0.8879934549331665,0.61875,0.6466573429476454,0.605900476911138,0.5959471283759872,4,Hill Climbing
Sleep-EDF,33,1,64,5,64,0.1,0.0005,16,0.8081498146057129,0.67578125,0.6611851269492108,0.6623708640210663,0.6534145672158169,4,Hill Climbing
Sleep-EDF,34,1,96,4,64,0.1,0.0005,16,0.7885850071907043,0.67109375,0.6506913489910802,0.6557261845071001,0.6422440963110969,4,Hill Climbing
Sleep-EDF,35,1,64,4,64,0.1,0.0005,16,0.8589908480644226,0.6359375,0.628622333756762,0.6224373461814346,0.6073639335980566,4,Hill Climbing
Sleep-EDF,36,1,96,4,32,0.1,0.0005,16,0.8773008584976196,0.628125,0.6339762721698713,0.6156107023291444,0.6115491598330344,4,Hill Climbing
Sleep-EDF,37,1,96,5,64,0.1,0.0005,16,0.8815577626228333,0.63203125,0.6553812494640179,0.6274401267553619,0.6338514112269993,4,Hill Climbing
Sleep-EDF,38,1,96,4,64,0.1,0.0001,16,0.9054522514343262,0.59765625,0.5627325061196928,0.5834469274405392,0.5697243621167752,4,Hill Climbing
Sleep-EDF,39,1,96,4,64,0.1,0.001,16,0.8949790000915527,0.6171875,0.6098018918925943,0.6081343355995672,0.6048180730268586,4,Hill Climbing
Sleep-EDF,40,1,96,4,64,0.1,0.0005,32,0.9326533079147339,0.61953125,0.6047212113274009,0.6045238681058633,0.5973783920121031,4,Hill Climbing
Sleep-EDF,41,1,96,3,64,0.1,0.0005,16,0.875124454498291,0.6265625,0.5979604228263795,0.6124238385176387,0.5996266044367945,4,Hill Climbing
Sleep-EDF,42,1,96,4,96,0.1,0.0005,16,0.8396743535995483,0.6421875,0.6236306024651473,0.6273574514394733,0.6157480444544514,4,Hill Climbing
Sleep-EDF,43,1,96,4,64,0.2,0.0005,16,0.8953296542167664,0.60703125,0.6485063244840253,0.6053255622879767,0.6154237871780095,4,Hill Climbing
Sleep-EDF,44,1,128,4,64,0.1,0.0005,16,0.8392939567565918,0.64609375,0.6470683737667795,0.6365392956861774,0.6390881699046829,4,Hill Climbing
Sleep-EDF,45,2,64,3,128,0.2,0.0001,48,1.3363215923309326,0.44921875,0.42634283564996417,0.4299919873506406,0.35682931390080463,4,Hill Climbing
Sleep-EDF,46,2,64,4,128,0.2,0.0001,48,1.3942184448242188,0.4453125,0.46615088761836565,0.4256741266013243,0.37650998426471183,4,Hill Climbing
Sleep-EDF,47,2,64,2,128,0.2,0.0001,48,1.2038774490356445,0.475,0.4132940515596538,0.45670146736067013,0.3911366460040634,4,Hill Climbing
Sleep-EDF,48,2,64,3,128,0.2,0.0001,48,1.2846877574920654,0.440625,0.4302910882313209,0.4198164949386882,0.3612880116486191,4,Hill Climbing
Sleep-EDF,49,2,64,2,128,0.1,0.0001,48,1.1063692569732666,0.52265625,0.5056014203837534,0.5051932407067008,0.48338536369941076,4,Hill Climbing
Sleep-EDF,50,2,64,2,128,0.1,0.0001,64,1.3578250408172607,0.43203125,0.4061116311654837,0.4163205004410754,0.35953112040042984,4,Hill Climbing
Sleep-EDF,51,2,96,2,128,0.1,0.0001,48,1.2839194536209106,0.4453125,0.4156165824083894,0.4278675288578647,0.37571022144882293,4,Hill Climbing
Sleep-EDF,52,2,64,2,96,0.1,0.0001,48,1.2967016696929932,0.46953125,0.4316548275552317,0.44962188978736684,0.3941294476411478,4,Hill Climbing
Sleep-EDF,53,2,32,2,128,0.1,0.0001,48,1.1804152727127075,0.50859375,0.496202598117938,0.48915356564293616,0.4527586519519877,4,Hill Climbing
Sleep-EDF,54,2,64,3,128,0.1,0.0001,48,1.1508766412734985,0.5171875,0.48606326631602237,0.4998058910169377,0.45515640268668667,4,Hill Climbing
Sleep-EDF,55,2,64,2,128,0.2,0.0001,48,1.2126977443695068,0.45703125,0.4222023212718993,0.44022187534711243,0.3570672458657985,4,Hill Climbing
Sleep-EDF,56,2,64,2,128,0.1,0.0005,48,1.1076867580413818,0.54140625,0.5184011124821506,0.5274406381768856,0.4989855351999738,4,Hill Climbing
Sleep-EDF,57,2,64,2,128,0.1,0.0001,32,0.9266501665115356,0.603125,0.5848324053647878,0.5888116235740182,0.5781154392782278,4,Hill Climbing
Sleep-EDF,58,2,32,2,128,0.1,0.0001,32,0.9625939130783081,0.58671875,0.5593037906053284,0.5752479132536135,0.5614836845827046,4,Hill Climbing
Sleep-EDF,59,2,64,2,128,0.2,0.0001,32,1.01038658618927,0.56015625,0.5092921230123484,0.5435956162636365,0.5122618960833338,4,Hill Climbing
Sleep-EDF,60,2,64,3,128,0.1,0.0001,32,0.9292723536491394,0.6046875,0.5872915618558533,0.5928975609317002,0.5823642598351392,4,Hill Climbing
Sleep-EDF,61,2,96,2,128,0.1,0.0001,32,0.9545751810073853,0.584375,0.5550177705056263,0.5679310446658782,0.5500422792114957,4,Hill Climbing
