filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,method
49,2,77,0.1018715062191359,0.006235625168632059,51,27.53740119934082,PSO
22,2,114,0.49130220805426034,0.004581766826316233,60,27.813434600830078,PSO
100,4,116,0.4980749243711955,0.002632417935545813,26,27.54458999633789,PSO
43,3,33,0.3075373930903329,0.004945839712953153,60,27.871679306030273,PSO
68,3,41,0.11413160514664461,0.0071352422772547296,53,27.742494583129883,PSO
23,3,125,0.12920871887719426,0.0037357637388848843,30,26.64801788330078,PSO
40,3,61,0.3125973778341448,0.0027232539291799224,16,27.12952423095703,PSO
37,4,40,0.18022816444037196,0.002113622802256046,55,136.28746032714844,PSO
72,3,61,0.1215448732140112,0.002518774964272272,57,27.419479370117188,PSO
44,4,114,0.4475403227723226,0.0030295265822070645,61,26.599620819091797,PSO
48,3,81,0.422299362416783,0.009919116417797405,53,27.646869659423828,PSO
23,2,115,0.18537513631934602,0.007718068121595366,60,27.603870391845703,PSO
99,2,116,0.24751947022235213,0.004351941340230395,31,27.694087982177734,PSO
43,3,53,0.39132554502095773,0.0028390096781432243,61,66.1758804321289,PSO
68,4,43,0.3912444932884699,0.00568512579479655,54,27.85079002380371,PSO
25,4,124,0.20559017852844175,0.00955853041465739,32,27.132699966430664,PSO
41,4,65,0.3956697055893893,0.009887683711456497,27,27.835628509521484,PSO
39,2,42,0.10482011014396023,0.0017512523812828237,57,485.35479736328125,PSO
71,4,66,0.4029230386146585,0.004011782056424243,58,27.521284103393555,PSO
45,4,114,0.3671203129249332,0.0033904656542046827,61,27.871173858642578,PSO
46,3,92,0.1812584252543348,0.007733716415843628,54,27.695104598999023,PSO
27,3,116,0.22947314308373648,0.004106917526524344,60,27.74490737915039,PSO
94,3,116,0.462453958933797,0.008486014035595756,42,27.345773696899414,PSO
44,3,77,0.4328353566548164,0.00495395507115464,61,27.867996215820312,PSO
63,4,53,0.12183108138250923,0.00837052154816021,55,28.14165687561035,PSO
30,4,123,0.30303282197516934,0.008776962331204797,41,27.20005226135254,PSO
42,4,72,0.470158308390599,0.005583599184506414,37,27.829668045043945,PSO
41,3,57,0.44726386386773453,0.008502393762747973,58,27.84383201599121,PSO
65,4,77,0.19607139315018554,0.007422946092225235,59,27.911272048950195,PSO
45,4,114,0.3067179524469864,0.004607134327525241,62,27.700960159301758,PSO
46,3,103,0.3251849818829926,0.006203206065748964,56,27.564558029174805,PSO
34,3,116,0.16817805042164705,0.003283822414259905,61,27.48210906982422,PSO
81,4,115,0.25289661387399354,0.0013119217681109025,54,27.814302444458008,PSO
44,3,102,0.4342251861705707,0.0043601301910263695,61,26.887144088745117,PSO
56,4,69,0.2281407841411164,0.0012620738993712975,57,57.383827209472656,PSO
38,4,121,0.3951169870043648,0.004690719217321637,54,27.80489158630371,PSO
43,4,85,0.13072441981188046,0.008935803851586141,48,27.74946403503418,PSO
43,2,78,0.35550508480677234,0.007561055869937974,60,26.58907699584961,PSO
58,4,90,0.3446469417655401,0.006899044689258653,60,27.804861068725586,PSO
45,4,114,0.2627215891758192,0.0012816748075237586,61,38.87129592895508,PSO
46,2,95,0.3457218499130167,0.0030669612744388956,57,27.46825408935547,PSO
41,3,112,0.4714883113814028,0.0015294095595050408,61,26.620601654052734,PSO
61,2,109,0.44949939412597156,0.002158442358113371,61,27.812889099121094,PSO
45,3,124,0.378512799567685,0.004846127237396347,61,27.186857223510742,PSO
50,3,78,0.25201950360849146,0.004658249136836399,59,27.472396850585938,PSO
40,3,116,0.4498572039935881,0.00022723333043295446,54,843.091064453125,PSO
43,3,86,0.2875578097887387,0.0035841815722697534,44,28.245689392089844,PSO
45,3,97,0.23292218365190645,0.0037438517664090264,61,27.287397384643555,PSO
56,4,98,0.3755351262670109,0.009194882518229749,60,27.28774642944336,PSO
45,4,109,0.2862566893516807,0.009322092461960578,61,27.451974868774414,PSO
45,2,87,0.32471407567756405,0.004342025100319741,58,27.25636863708496,PSO
48,3,103,0.274551740045341,0.0039954173201436375,61,27.55236053466797,PSO
56,3,99,0.20657400251525296,0.003190018803271628,18,27.624971389770508,PSO
45,3,41,0.28482878014219903,0.009708554907811293,61,27.984716415405273,PSO
45,2,86,0.25643475297375784,0.0006293337610527294,61,569.65283203125,PSO
37,2,113,0.34147006320609,0.007276238176673159,54,27.450117111206055,PSO
