dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,120,2,63,0.18532083272709407,0.001141064084978142,56,1.580127239227295,0.24921875,0.2064356847852916,0.24856732775020712,0.17132508324219772,3,PSO
Haaglanden,27,3,91,0.2817833265062416,0.00454280078776537,32,1.3023779392242432,0.4,0.38185611542699527,0.40216687648217714,0.37303487143413483,4,PSO
Haaglanden,97,4,96,0.4310237207642299,0.007069425962187094,29,1.2887524366378784,0.4421875,0.4136860501891616,0.44811607677178156,0.37794855446626696,4,PSO
Haaglanden,26,3,55,0.1876131060672933,0.005006377003582001,30,1.2768738269805908,0.44765625,0.3923841307439258,0.44259614937787395,0.39654934090474414,4,PSO
Haaglanden,124,3,126,0.19107484287498797,0.005258782562785282,42,1.2956840991973877,0.43984375,0.45348248420847953,0.4385205528647226,0.3798626679160201,4,PSO
Haaglanden,67,2,96,0.4140211854596675,0.006821412393319731,30,2.0886218547821045,0.23828125,0.2374547360822774,0.2376957351477246,0.1363449823772135,3,PSO
Haaglanden,30,2,59,0.14058250869651037,0.003196520875096076,38,1.2069004774093628,0.4765625,0.44810298315916286,0.47283131541949164,0.4376968823169345,4,PSO
Haaglanden,33,2,99,0.1475833027532738,0.0021752780361837675,59,1.4733843803405762,0.33515625,0.299195315092024,0.33364627318060225,0.2579850981199414,3,PSO
Haaglanden,115,2,55,0.24876666913457215,0.0009095810632849351,47,1.4220197200775146,0.38515625,0.34400227954345386,0.3870650923117347,0.30609812408937603,4,PSO
Haaglanden,58,4,87,0.13532599770975492,0.009293236492722543,20,1.6080690622329712,0.2109375,0.0421875,0.2,0.0696774193548387,3,PSO
Haaglanden,104,3,63,0.23927466652428725,0.005799298038684783,54,1.5279924869537354,0.3890625,0.4956550678459607,0.3829586858819945,0.3233938908330137,4,PSO
Haaglanden,28,4,90,0.14170292689829092,0.008727107358615043,33,1.369362711906433,0.378125,0.3910555564928272,0.37956954049209607,0.3269748860945733,4,PSO
Haaglanden,97,4,95,0.41265777629926714,0.004384390916844398,30,1.2036678791046143,0.43203125,0.3999211118726303,0.429558999189977,0.40086860696243287,4,PSO
Haaglanden,27,3,56,0.18031375964378807,0.0015287916495219385,32,1.2046217918395996,0.4828125,0.46312354466119593,0.48730181507512993,0.4628554718277491,4,PSO
Haaglanden,115,3,111,0.3960467129461298,0.006234226435908042,41,1.3908741474151611,0.4046875,0.3657313634301604,0.40167511053164373,0.3445312384915001,4,PSO
Haaglanden,57,2,94,0.2560553196278468,0.0038813971930121414,32,1.4102606773376465,0.378125,0.423454525756798,0.372058053678488,0.32062376122681513,4,PSO
Haaglanden,31,3,59,0.11649454261643136,0.0007659187206586523,39,1.1952141523361206,0.50078125,0.47237321752593264,0.4962737987678366,0.45597476125961317,4,PSO
Haaglanden,33,2,93,0.11802385185290412,0.007877041944621806,57,1.5918039083480835,0.275,0.21299429410031503,0.2714223172588931,0.20634734282487743,3,PSO
Haaglanden,99,3,56,0.2320599754379285,0.009114327386810898,47,1.3787572383880615,0.3859375,0.34845689908796706,0.3791877028277179,0.3440719795562197,4,PSO
Haaglanden,51,2,87,0.17083617923138186,0.005801323786182161,23,1.391367793083191,0.40703125,0.3428074145610217,0.4006355249796947,0.31966494451509275,4,PSO
Haaglanden,73,4,62,0.2536093996793972,0.008438222289213902,52,1.3485482931137085,0.41484375,0.4949950320541112,0.41183919704818417,0.39713980322006537,4,PSO
Haaglanden,29,4,82,0.39279526000224985,0.0030905841176181643,34,1.2934147119522095,0.4453125,0.38259105621986506,0.43923213230982777,0.3753321060406202,4,PSO
Haaglanden,91,4,94,0.2348327897438325,0.0007361695020514862,33,1.1076737642288208,0.51875,0.46801826261365276,0.5144873071533044,0.46694758261121044,4,PSO
Haaglanden,29,4,58,0.15816924060669518,0.0032533955661015507,34,1.170390009880066,0.5078125,0.4814229295608605,0.5004840415735357,0.45964167309435855,4,PSO
Haaglanden,89,3,93,0.4525387993614116,0.00040515286592191874,41,1.481995701789856,0.37109375,0.36586767607371595,0.37160383284896903,0.28226771513606475,4,PSO
Haaglanden,47,3,86,0.4413567923344166,0.0025964863510528316,34,1.552755355834961,0.24921875,0.4311089534166458,0.26196739639817335,0.177845022072659,4,PSO
Haaglanden,32,3,59,0.41481537314436023,0.005508376781664958,39,1.3449679613113403,0.4265625,0.4252103467682943,0.41904763627871444,0.3802214389731456,4,PSO
Haaglanden,33,2,88,0.4165290485206701,0.003301621157306279,55,1.3222670555114746,0.4234375,0.35791090607614784,0.42186083481677805,0.32899993397608646,4,PSO
Haaglanden,77,3,58,0.196213048721591,0.009236551686563028,44,1.3534125089645386,0.4109375,0.418174114767308,0.4150306660548909,0.38947787236644377,4,PSO
