dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,65,2,95,0.4105731686810432,0.00246162199190004,63,1.1179099082946777,0.540625,0.5221875898502801,0.5247908793407066,0.5092045279307434,4,PSO
Sleep-EDF,64,3,43,0.1680631251318482,0.009915884937764666,45,1.428925633430481,0.34453125,0.5379381584664313,0.3471781811181901,0.3414300690031515,4,PSO
Sleep-EDF,124,3,63,0.37849779491529056,0.002204086988514564,25,1.1687828302383423,0.49765625,0.4828402382247462,0.480517612287444,0.40560587434362355,4,PSO
Sleep-EDF,79,2,109,0.266846624979984,0.00597945873012945,34,0.9920967221260071,0.5765625,0.5636997388928187,0.5658897505718958,0.5591407432357374,4,PSO
Sleep-EDF,71,3,58,0.12866629326845566,0.009614307405551845,42,1.3925012350082397,0.44609375,0.40511135137205223,0.42483913377670895,0.36341746254616747,4,PSO
Sleep-EDF,35,3,85,0.4020005790086226,0.00915551283757469,24,1.0732369422912598,0.5375,0.4954867951931202,0.5225477870136416,0.48654392912207917,4,PSO
Sleep-EDF,85,4,92,0.3884260545910345,0.006327221067893613,51,1.0453851222991943,0.55,0.5536443792134176,0.5387020223049507,0.5216850949479612,4,PSO
Sleep-EDF,127,3,37,0.2762257301910471,0.00796872107493064,33,1.008409023284912,0.5671875,0.5109273158351345,0.5498321091148118,0.4979249430888163,4,PSO
Sleep-EDF,111,3,121,0.43852101295232815,0.003920099920362139,24,1.260450839996338,0.459375,0.5281918473567251,0.4609330741150295,0.41477904423443474,4,PSO
Sleep-EDF,39,4,50,0.43040917909664833,0.009353163329326555,40,1.158813714981079,0.53203125,0.5791386179810841,0.5237829178334257,0.5275811055745243,4,PSO
Sleep-EDF,69,2,98,0.41355512114628545,0.003098263921725015,57,1.1410820484161377,0.50390625,0.5003966388275016,0.48461957350757423,0.4751260128152688,4,PSO
Sleep-EDF,67,3,47,0.44555120169293194,0.003299084480647001,44,1.0989223718643188,0.52265625,0.5423550854398312,0.519469361213348,0.5161177194960247,4,PSO
Sleep-EDF,112,3,68,0.1251857106624016,0.0058157029383471915,27,1.1574956178665161,0.51171875,0.511533302612763,0.49927612917706776,0.4654585420048126,4,PSO
Sleep-EDF,79,2,109,0.3017445915659289,0.009698353369924285,34,1.4265145063400269,0.44921875,0.5151624130606473,0.4498949764264683,0.4345353075545223,4,PSO
Sleep-EDF,72,3,70,0.20399780085006072,0.007438033518802464,41,1.1200326681137085,0.47578125,0.4550823112680858,0.47930809471185665,0.43698597824105406,4,PSO
Sleep-EDF,40,3,92,0.3183580939586921,0.0019174454387220752,27,1.0090179443359375,0.565625,0.5594104008101229,0.5586822712198529,0.5259377173919567,4,PSO
Sleep-EDF,84,4,97,0.20939962087735267,0.004867673308705048,48,1.1020233631134033,0.52734375,0.5309903246155763,0.515652889588613,0.49639101335026153,4,PSO
Sleep-EDF,117,3,58,0.25156274177175963,0.003468756540495241,33,1.1026313304901123,0.5265625,0.5967638676550331,0.5233029205662649,0.5310914973602769,4,PSO
Sleep-EDF,108,3,120,0.4659717125350441,0.001894011001707051,27,0.987376868724823,0.57421875,0.5626244288110824,0.565091341809035,0.5636798771944712,4,PSO
Sleep-EDF,48,3,66,0.32340691952342016,0.002267580982524555,39,0.9672864675521851,0.56953125,0.5497772885489207,0.5506417828072084,0.5128940794513672,4,PSO
Sleep-EDF,66,2,95,0.3961680969119038,0.00563227036279926,47,1.1723010540008545,0.52578125,0.5126154440723673,0.5179247169580311,0.4956063937755091,4,PSO
Sleep-EDF,66,4,52,0.26309944364800153,0.006962448700257644,42,0.9619663953781128,0.56953125,0.5839644791521251,0.5540723516944386,0.525045654759252,4,PSO
Sleep-EDF,84,3,72,0.26741643049493696,0.003476833730552144,29,0.9793140292167664,0.5671875,0.5632471989988627,0.5508781159851475,0.5407680416118253,4,PSO
Sleep-EDF,72,3,107,0.32860757549753844,0.006287031957760327,35,1.1658796072006226,0.521875,0.4417214716861514,0.5017586217882358,0.41489856437382305,3,PSO
Sleep-EDF,66,4,80,0.20394471022649865,0.005598337940631475,40,1.1715469360351562,0.46328125,0.4619707807764725,0.46554692278128557,0.4327353551974412,4,PSO
Sleep-EDF,46,3,95,0.16346499403245632,0.009273589374338913,31,1.2359099388122559,0.47109375,0.4366567751390347,0.4608844873895809,0.4034186736002366,4,PSO
Sleep-EDF,76,4,94,0.4680368915943237,0.008192986658885315,45,1.0987603664398193,0.54140625,0.5598175273207869,0.5365046166815615,0.5452482452433097,4,PSO
Sleep-EDF,94,3,79,0.17086869484988323,0.00013236746306569705,34,0.9679943919181824,0.58203125,0.5480601285506945,0.5690557626522346,0.5510001467058622,4,PSO
Sleep-EDF,93,3,105,0.40826061974543615,0.004072138741872912,32,0.9718467593193054,0.55625,0.5587558049375996,0.5512519567605626,0.49434356496121,4,PSO
Sleep-EDF,57,3,81,0.14710488590751472,0.0077705568704027625,38,1.4058897495269775,0.38203125,0.3390336370926587,0.3860553449317313,0.2983943146806551,4,PSO
Sleep-EDF,64,3,84,0.3869770720466012,0.003522981526051822,39,1.0548964738845825,0.56015625,0.5359258532510461,0.5400084465824377,0.49923948378582156,4,PSO
Sleep-EDF,64,4,56,0.4588928614075642,0.007289476497907252,41,1.288435459136963,0.47421875,0.4316013849485983,0.4633790115242459,0.3866325233493035,3,PSO
Sleep-EDF,55,4,72,0.39470393826400885,0.003362494440987508,34,0.9438036680221558,0.6125,0.5769739510833596,0.5949478563060564,0.5659399305190443,4,PSO
Sleep-EDF,65,3,100,0.3073088475797752,0.00523716815144364,37,0.9714494943618774,0.5859375,0.5727528994053762,0.5688645517333348,0.5313440036136756,4,PSO
Sleep-EDF,61,4,79,0.1415115355309227,0.0016829834424255316,40,0.9304180145263672,0.590625,0.585832189858355,0.5764965712800697,0.5710445321671026,4,PSO
Sleep-EDF,55,3,90,0.42012992588796794,0.005245514077052584,36,0.9497770071029663,0.6015625,0.5756748281496314,0.5850292311696286,0.5541049985856651,4,PSO
