filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,method
16,3,128,0.3,0.0001,32,935.4136962890625,Random Search
32,5,32,0.2,0.001,64,688.7529907226562,Random Search
32,5,64,0.2,0.0001,16,885.2957153320312,Random Search
128,2,64,0.4,0.0005,16,57.129520416259766,Random Search
32,5,32,0.4,0.005,32,23.816234588623047,Random Search
32,2,128,0.1,0.0001,32,758.2970581054688,Random Search
32,2,64,0.5,0.001,32,24.42972183227539,Random Search
16,4,64,0.1,0.001,32,264.64764404296875,Random Search
128,2,64,0.5,0.0005,16,35.96788787841797,Random Search
32,3,128,0.3,0.0005,32,322.8356628417969,Random Search
16,2,64,0.1,0.001,32,149.7941131591797,Random Search
16,4,32,0.4,0.01,16,23.462093353271484,Random Search
64,3,64,0.3,0.005,64,23.621660232543945,Random Search
16,2,32,0.1,0.01,64,23.774673461914062,Random Search
16,4,64,0.2,0.01,32,23.529897689819336,Random Search
16,2,32,0.3,0.0001,16,965.4515380859375,Random Search
32,4,32,0.5,0.001,32,389.683837890625,Random Search
64,4,64,0.4,0.01,16,22.691099166870117,Random Search
32,3,128,0.2,0.0005,16,23.616403579711914,Random Search
64,3,64,0.2,0.01,64,23.653093338012695,Random Search
64,2,64,0.5,0.0001,64,991.5496215820312,Random Search
32,5,32,0.2,0.005,16,23.780109405517578,Random Search
64,5,128,0.4,0.001,64,100.33769989013672,Random Search
32,2,32,0.4,0.01,64,23.80894660949707,Random Search
128,5,128,0.3,0.005,16,23.64873695373535,Random Search
128,3,128,0.3,0.0005,32,207.86448669433594,Random Search
128,5,32,0.1,0.005,16,23.513782501220703,Random Search
64,2,128,0.4,0.005,32,23.779525756835938,Random Search
64,3,128,0.2,0.01,32,22.72007179260254,Random Search
64,3,128,0.4,0.0005,32,93.71916198730469,Random Search
32,2,64,0.1,0.005,32,23.689476013183594,Random Search
128,5,64,0.1,0.0001,16,704.5526733398438,Random Search
128,2,128,0.5,0.01,64,23.778621673583984,Random Search
16,5,32,0.4,0.001,32,475.72430419921875,Random Search
16,4,32,0.2,0.0001,16,917.5057983398438,Random Search
128,5,32,0.1,0.001,16,58.03483963012695,Random Search
64,4,32,0.2,0.01,32,23.862621307373047,Random Search
64,2,64,0.5,0.01,64,24.04848861694336,Random Search
32,2,32,0.3,0.0005,16,338.2874450683594,Random Search
128,3,32,0.4,0.01,16,23.779640197753906,Random Search
32,4,128,0.1,0.0005,32,226.3522491455078,Random Search
64,2,32,0.3,0.001,32,539.6659545898438,Random Search
32,2,32,0.2,0.005,32,23.829294204711914,Random Search
16,2,64,0.5,0.01,64,24.13642692565918,Random Search
128,2,64,0.2,0.01,32,23.76934242248535,Random Search
64,5,64,0.5,0.001,32,76.5725326538086,Random Search
32,4,128,0.1,0.001,64,251.42636108398438,Random Search
16,4,64,0.2,0.0005,32,613.8203125,Random Search
16,2,128,0.4,0.0001,32,811.8278198242188,Random Search
64,3,64,0.4,0.01,64,23.928081512451172,Random Search
128,4,32,0.2,0.0001,32,952.9183349609375,Random Search
32,4,64,0.4,0.0005,64,882.8350830078125,Random Search
16,3,64,0.1,0.01,16,23.18084144592285,Random Search
16,3,32,0.2,0.0005,32,925.8272705078125,Random Search
64,4,128,0.2,0.005,64,23.88735580444336,Random Search
128,3,64,0.2,0.005,64,23.776975631713867,Random Search
128,5,64,0.1,0.0005,64,691.8006591796875,Random Search
16,4,128,0.1,0.0001,32,886.63134765625,Random Search
128,2,128,0.1,0.0001,16,567.2391357421875,Random Search
64,5,128,0.2,0.005,32,23.324031829833984,Random Search
64,3,64,0.4,0.001,64,419.6270751953125,Random Search
128,3,64,0.2,0.0005,16,59.80946731567383,Random Search
32,3,32,0.2,0.0001,64,994.5209350585938,Random Search
32,5,64,0.5,0.0005,64,839.6716918945312,Random Search
16,3,64,0.5,0.0005,32,541.6270751953125,Random Search
16,3,64,0.2,0.001,64,733.4005126953125,Random Search
128,2,32,0.1,0.01,32,23.782604217529297,Random Search
16,5,32,0.5,0.0001,16,1014.0113525390625,Random Search
64,2,32,0.3,0.0005,16,382.5320739746094,Random Search
128,3,64,0.3,0.001,32,73.13055419921875,Random Search
128,2,64,0.3,0.001,32,64.74539184570312,Random Search
16,3,128,0.2,0.001,64,121.44225311279297,Random Search
128,5,32,0.3,0.01,32,23.80046272277832,Random Search
32,3,32,0.3,0.0005,32,765.6923217773438,Random Search
32,2,128,0.2,0.0001,64,877.2050170898438,Random Search
64,5,64,0.1,0.01,64,23.85361671447754,Random Search
128,5,128,0.4,0.01,32,23.346878051757812,Random Search
64,3,64,0.3,0.01,64,25.05070686340332,Random Search
16,3,128,0.4,0.0005,32,413.2706298828125,Random Search
128,2,64,0.3,0.001,16,23.660106658935547,Random Search
64,5,64,0.1,0.0005,32,372.6059875488281,Random Search
128,4,32,0.4,0.01,32,23.80621337890625,Random Search
32,5,128,0.5,0.01,16,20.931982040405273,Random Search
16,4,32,0.4,0.005,32,23.225242614746094,Random Search
32,4,32,0.4,0.001,64,835.78076171875,Random Search
64,5,128,0.2,0.01,64,23.815692901611328,Random Search
128,2,128,0.3,0.005,16,23.234600067138672,Random Search
64,5,32,0.2,0.005,32,23.95094871520996,Random Search
16,2,64,0.2,0.001,16,23.869203567504883,Random Search
128,3,64,0.4,0.01,64,24.252723693847656,Random Search
64,4,128,0.2,0.0005,64,377.59014892578125,Random Search
64,3,128,0.3,0.01,16,22.823551177978516,Random Search
64,5,64,0.3,0.001,64,530.74267578125,Random Search
64,3,32,0.1,0.001,16,88.92002868652344,Random Search
64,5,32,0.4,0.01,16,23.77829933166504,Random Search
32,2,128,0.5,0.001,32,23.95954704284668,Random Search
32,5,64,0.5,0.0005,32,420.5977783203125,Random Search
128,3,128,0.2,0.01,64,24.069665908813477,Random Search
128,4,128,0.1,0.001,16,23.538753509521484,Random Search
128,4,128,0.2,0.01,16,23.599241256713867,Random Search
