dataset,trial,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,1,96,3,128,0.2,0.0005,64,1.6301578283309937,0.265625,0.271792583482808,0.2655371417967125,0.16727291695960161,4,Random Search
Haaglanden,2,64,2,96,0.5,0.005,64,1.8250395059585571,0.21171875,0.06927594472645235,0.21445297437515337,0.10068390641280667,4,Random Search
Haaglanden,3,128,3,96,0.5,0.001,16,1.1948814392089844,0.46796875,0.4167569391997475,0.4672628982871232,0.4192172688016885,4,Random Search
Haaglanden,4,32,2,128,0.3,0.005,48,1.5515393018722534,0.3015625,0.3952845716701817,0.3014176321958423,0.2427500311180108,4,Random Search
Haaglanden,5,128,3,32,0.2,0.005,16,1.3071551322937012,0.44921875,0.4020486735027994,0.4452081161833892,0.397131822425649,4,Random Search
Haaglanden,6,64,5,32,0.4,0.001,16,1.2724254131317139,0.43984375,0.38970434078316113,0.4366770548633232,0.37637886310809765,4,Random Search
Haaglanden,7,16,5,128,0.3,0.005,16,1.3049604892730713,0.46015625,0.4862939554521244,0.46757925599396655,0.4577080587881094,4,Random Search
Haaglanden,8,16,3,96,0.3,0.0001,64,1.5829699039459229,0.28203125,0.2617028462675841,0.2766980615430471,0.23978931126786662,4,Random Search
Haaglanden,9,16,5,32,0.5,0.0001,48,1.6130788326263428,0.2,0.1552094846952134,0.19354536662933802,0.16032516910985434,3,Random Search
Haaglanden,10,128,5,128,0.5,0.0001,16,1.3801696300506592,0.3875,0.3334139371270144,0.3883271754603498,0.27932250469547704,4,Random Search
Haaglanden,11,64,4,64,0.3,0.001,64,1.4823472499847412,0.3578125,0.2490507502473302,0.35942995390089655,0.24460183074717223,4,Random Search
Haaglanden,12,96,5,96,0.2,0.001,64,1.5081814527511597,0.35546875,0.448517501881254,0.35616855733963815,0.26535378856930325,4,Random Search
Haaglanden,13,64,5,64,0.2,0.005,16,1.4076292514801025,0.34296875,0.30109082808587484,0.3498025316463876,0.27595059640975306,4,Random Search
Haaglanden,14,128,2,64,0.5,0.0001,32,1.5725469589233398,0.2765625,0.2172230446726377,0.27486598255269024,0.2134693497038945,4,Random Search
Haaglanden,15,32,4,64,0.1,0.0005,16,1.2134475708007812,0.48046875,0.4811133829705255,0.4846104391253129,0.4663046699046058,4,Random Search
