dataset,trial,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,1,64,2,128,0.1,0.0001,16,0.9004608988761902,0.61953125,0.6230116724082296,0.6083847346010561,0.61384986600962,4,Random Search
Sleep-EDF,2,32,3,32,0.1,0.001,64,1.0611368417739868,0.50703125,0.4575979333279139,0.4941317218481055,0.4413757123200018,4,Random Search
Sleep-EDF,3,32,5,64,0.1,0.005,32,1.0125811100006104,0.58046875,0.5865893807316382,0.5639274945769337,0.5552307740660669,4,Random Search
Sleep-EDF,4,96,3,32,0.1,0.005,16,1.163300633430481,0.478125,0.4794309771981477,0.4610380882158231,0.4329021307367918,3,Random Search
Sleep-EDF,5,64,2,128,0.4,0.001,32,0.9567591547966003,0.61796875,0.6125767450031747,0.6081483188423734,0.598254727415017,4,Random Search
Sleep-EDF,6,16,2,128,0.3,0.0001,64,1.4875977039337158,0.346875,0.288406389611034,0.3228402341114509,0.23677582841089798,4,Random Search
Sleep-EDF,7,128,3,32,0.2,0.0005,64,1.383554220199585,0.4140625,0.4306850129140898,0.3937745235482119,0.342131928350247,4,Random Search
Sleep-EDF,8,16,5,32,0.1,0.005,48,0.9416573643684387,0.5828125,0.65081191865368,0.5757844215601576,0.5342221563170845,4,Random Search
Sleep-EDF,9,96,3,128,0.1,0.0001,16,0.8526467084884644,0.64453125,0.6407937295078373,0.6306407581446389,0.6210400179111326,4,Random Search
Sleep-EDF,10,128,2,128,0.5,0.0001,16,1.2640800476074219,0.446875,0.3829043455480237,0.43072206003164853,0.3366623312953654,4,Random Search
Sleep-EDF,11,64,5,64,0.2,0.0005,48,0.9831204414367676,0.5765625,0.5909892451471737,0.5637701389317138,0.5588166282527898,4,Random Search
Sleep-EDF,12,128,5,128,0.2,0.005,64,1.3510162830352783,0.44609375,0.5632859290263144,0.4525305112972432,0.4637184586932671,4,Random Search
Sleep-EDF,13,32,4,128,0.3,0.0001,16,1.0319706201553345,0.55625,0.5051031087249007,0.5393047241583269,0.4984446014472681,4,Random Search
Sleep-EDF,14,16,4,96,0.4,0.0005,16,1.1193201541900635,0.5203125,0.4984791752134508,0.5012346895207436,0.45970968712993054,4,Random Search
Sleep-EDF,15,64,5,96,0.4,0.0001,48,1.3280144929885864,0.4234375,0.3460464864041553,0.4015151727924944,0.2920538043595268,4,Random Search
Sleep-EDF,16,128,5,128,0.5,0.01,48,1.1571285724639893,0.496875,0.5204858326318015,0.4943918231694505,0.48008174738086734,4,Random Search
Sleep-EDF,17,32,5,64,0.4,0.005,16,1.0815287828445435,0.534375,0.5017572436121859,0.5199446166093064,0.4737457026441624,4,Random Search
Sleep-EDF,18,128,4,32,0.2,0.01,16,1.1889989376068115,0.4875,0.5368793585233507,0.48222471477127443,0.49430550881028273,4,Random Search
Sleep-EDF,19,32,4,96,0.1,0.005,16,1.1979732513427734,0.51484375,0.497142610291864,0.5003857754300478,0.47351596940805774,3,Random Search
Sleep-EDF,20,128,3,128,0.2,0.001,64,1.4803831577301025,0.39375,0.4146474199543406,0.3711854460830285,0.2531784727095744,3,Random Search
Sleep-EDF,21,32,2,128,0.3,0.01,48,1.3827892541885376,0.34140625,0.4252602777259516,0.35418243049865006,0.33179371976521554,4,Random Search
Sleep-EDF,22,128,5,64,0.3,0.0001,32,1.1211163997650146,0.53671875,0.5115565175574646,0.5212656011476933,0.48730138931516687,4,Random Search
