filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,method
16,2,96,0.2,0.0005,32,185.06817626953125,Simulated Annealing
16,2,96,0.2,0.001,32,98.50627136230469,Simulated Annealing
32,2,96,0.2,0.001,32,28.048635482788086,Simulated Annealing
32,2,96,0.2,0.005,32,27.496658325195312,Simulated Annealing
32,2,96,0.3,0.005,32,27.793519973754883,Simulated Annealing
32,2,128,0.3,0.005,32,27.106239318847656,Simulated Annealing
64,2,128,0.3,0.005,32,27.383346557617188,Simulated Annealing
32,2,128,0.3,0.001,32,27.266101837158203,Simulated Annealing
32,3,128,0.3,0.005,32,27.625171661376953,Simulated Annealing
32,4,128,0.3,0.005,32,27.570655822753906,Simulated Annealing
32,4,128,0.3,0.001,32,27.317121505737305,Simulated Annealing
32,4,128,0.3,0.0005,32,150.8665771484375,Simulated Annealing
32,4,96,0.3,0.001,32,27.055070877075195,Simulated Annealing
32,4,64,0.3,0.001,32,100.19662475585938,Simulated Annealing
32,3,96,0.3,0.001,32,27.506813049316406,Simulated Annealing
32,4,96,0.4,0.001,32,28.025634765625,Simulated Annealing
32,3,96,0.3,0.001,32,27.760887145996094,Simulated Annealing
32,4,96,0.4,0.001,32,28.314476013183594,Simulated Annealing
32,4,128,0.3,0.001,32,27.511062622070312,Simulated Annealing
32,4,64,0.3,0.001,32,87.00981903076172,Simulated Annealing
32,4,96,0.3,0.0005,32,296.2783508300781,Simulated Annealing
64,4,96,0.3,0.001,32,27.823509216308594,Simulated Annealing
32,3,96,0.3,0.001,32,27.306447982788086,Simulated Annealing
32,4,96,0.3,0.0005,32,165.64825439453125,Simulated Annealing
32,4,96,0.2,0.001,32,27.74508285522461,Simulated Annealing
32,4,96,0.3,0.001,48,44.022579193115234,Simulated Annealing
16,4,96,0.3,0.001,32,26.9951229095459,Simulated Annealing
16,3,96,0.3,0.001,32,26.455554962158203,Simulated Annealing
16,3,128,0.3,0.001,32,26.786483764648438,Simulated Annealing
16,3,96,0.4,0.001,32,27.158735275268555,Simulated Annealing
16,3,96,0.3,0.001,16,26.009410858154297,Simulated Annealing
16,3,64,0.3,0.001,16,26.991994857788086,Simulated Annealing
16,3,96,0.2,0.001,16,26.857826232910156,Simulated Annealing
32,3,96,0.3,0.001,16,27.628131866455078,Simulated Annealing
16,4,96,0.3,0.001,16,26.686786651611328,Simulated Annealing
16,3,96,0.4,0.001,16,26.97800064086914,Simulated Annealing
16,4,96,0.3,0.001,16,27.198299407958984,Simulated Annealing
32,3,96,0.3,0.001,16,27.545631408691406,Simulated Annealing
16,2,96,0.3,0.001,16,26.782581329345703,Simulated Annealing
16,3,96,0.3,0.0005,16,26.652584075927734,Simulated Annealing
16,3,96,0.3,0.005,16,26.747861862182617,Simulated Annealing
16,3,96,0.3,0.001,32,27.784852981567383,Simulated Annealing
16,3,96,0.3,0.0005,16,26.935138702392578,Simulated Annealing
16,4,96,0.3,0.001,16,27.624614715576172,Simulated Annealing
16,3,96,0.3,0.001,32,27.704118728637695,Simulated Annealing
32,3,96,0.3,0.001,16,26.890003204345703,Simulated Annealing
16,4,96,0.3,0.001,16,26.745651245117188,Simulated Annealing
16,3,96,0.4,0.001,16,27.628686904907227,Simulated Annealing
16,3,96,0.4,0.001,16,27.596338272094727,Simulated Annealing
32,3,96,0.3,0.001,16,27.42036247253418,Simulated Annealing
32,3,96,0.3,0.001,16,27.339561462402344,Simulated Annealing
16,3,96,0.2,0.001,16,26.782899856567383,Simulated Annealing
16,3,96,0.2,0.001,16,26.3362979888916,Simulated Annealing
16,3,96,0.3,0.001,32,27.526880264282227,Simulated Annealing
16,3,96,0.2,0.001,16,26.740854263305664,Simulated Annealing
16,2,96,0.3,0.001,16,26.620027542114258,Simulated Annealing
16,3,128,0.3,0.001,16,27.234994888305664,Simulated Annealing
32,3,96,0.3,0.001,16,26.36017608642578,Simulated Annealing
16,3,128,0.3,0.001,16,27.044408798217773,Simulated Annealing
16,3,96,0.3,0.001,32,26.743497848510742,Simulated Annealing
16,3,96,0.3,0.001,32,26.850635528564453,Simulated Annealing
32,3,96,0.3,0.001,16,27.392210006713867,Simulated Annealing
16,2,96,0.3,0.001,16,26.93608283996582,Simulated Annealing
16,3,128,0.3,0.001,16,27.38758087158203,Simulated Annealing
16,3,96,0.3,0.005,16,27.046377182006836,Simulated Annealing
16,3,96,0.3,0.001,32,29.7022647857666,Simulated Annealing
16,4,96,0.3,0.001,16,27.13587188720703,Simulated Annealing
16,3,96,0.3,0.0005,16,27.148073196411133,Simulated Annealing
16,3,96,0.4,0.001,16,26.9376220703125,Simulated Annealing
32,3,96,0.3,0.001,16,26.564929962158203,Simulated Annealing
32,3,96,0.3,0.001,16,26.879322052001953,Simulated Annealing
16,3,96,0.4,0.001,16,27.660850524902344,Simulated Annealing
16,3,96,0.4,0.001,16,26.49503517150879,Simulated Annealing
16,3,96,0.3,0.001,32,27.69012451171875,Simulated Annealing
16,3,96,0.3,0.0005,16,27.361827850341797,Simulated Annealing
16,3,96,0.4,0.001,16,27.907337188720703,Simulated Annealing
16,3,96,0.3,0.0005,16,27.718839645385742,Simulated Annealing
16,3,128,0.3,0.001,16,26.573930740356445,Simulated Annealing
16,3,96,0.3,0.0005,16,27.2454833984375,Simulated Annealing
16,3,96,0.3,0.001,32,28.06433868408203,Simulated Annealing
16,3,96,0.2,0.001,16,26.5497989654541,Simulated Annealing
16,3,96,0.4,0.001,16,28.477190017700195,Simulated Annealing
16,3,96,0.4,0.001,16,27.223430633544922,Simulated Annealing
16,3,64,0.3,0.001,16,27.617170333862305,Simulated Annealing
16,2,96,0.3,0.001,16,27.2463321685791,Simulated Annealing
16,4,96,0.3,0.001,16,27.56484603881836,Simulated Annealing
16,3,96,0.3,0.001,32,27.236604690551758,Simulated Annealing
16,3,96,0.3,0.005,16,26.18203353881836,Simulated Annealing
