dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,16,2,96,0.2,0.0005,32,1.2531920671463013,0.46171875,0.4549952729263074,0.45945876411296266,0.4150265173912976,4,Simulated Annealing
Haaglanden,32,2,96,0.2,0.0005,32,1.2293918132781982,0.47421875,0.4225675054343542,0.47132016019677625,0.41199709207643387,4,Simulated Annealing
Haaglanden,32,2,96,0.2,0.001,32,1.1949756145477295,0.48828125,0.46883518695927096,0.4839544744766283,0.4319197206832855,4,Simulated Annealing
Haaglanden,32,2,96,0.2,0.001,48,1.307608962059021,0.44921875,0.41848020410144826,0.45186483637971014,0.41833145165602126,4,Simulated Annealing
Haaglanden,32,2,128,0.2,0.001,48,1.5736138820648193,0.26328125,0.2292775077023653,0.2654718302013394,0.17936208791495897,3,Simulated Annealing
Haaglanden,32,2,128,0.2,0.001,64,1.330122470855713,0.42890625,0.36193584193584194,0.4270915201453672,0.3598463675335779,4,Simulated Annealing
Haaglanden,32,3,128,0.2,0.001,64,1.38633131980896,0.4359375,0.38447678867910484,0.4401718986644304,0.37998050910226217,4,Simulated Annealing
Haaglanden,32,3,128,0.2,0.001,48,1.3515875339508057,0.39140625,0.3909966755254363,0.3941597971584164,0.35950959624345274,4,Simulated Annealing
Haaglanden,32,3,128,0.2,0.001,32,1.2348157167434692,0.46796875,0.43899336718961257,0.4672610698166114,0.4098838492269222,4,Simulated Annealing
Haaglanden,32,3,96,0.2,0.001,32,1.277823567390442,0.4734375,0.44757248667753424,0.47556587680222673,0.4391625052013818,4,Simulated Annealing
Haaglanden,32,3,96,0.2,0.001,48,1.372096300125122,0.40859375,0.36929220520618367,0.4091641542024371,0.35163689440959267,4,Simulated Annealing
Haaglanden,32,3,96,0.2,0.005,48,1.3823444843292236,0.38125,0.3312720060871168,0.38321745870384,0.3179754163798528,3,Simulated Annealing
Haaglanden,32,4,96,0.2,0.005,48,1.3335063457489014,0.3921875,0.4003580368906456,0.38126289354857196,0.3563869662937167,4,Simulated Annealing
Haaglanden,16,4,96,0.2,0.005,48,1.3072340488433838,0.44921875,0.45845224295209686,0.44952440561201695,0.3728178637328956,4,Simulated Annealing
Haaglanden,16,4,96,0.1,0.005,48,1.4836390018463135,0.3734375,0.30975112702403557,0.37368987108286716,0.31116194440993256,3,Simulated Annealing
Haaglanden,16,4,96,0.2,0.005,64,1.36594557762146,0.371875,0.33358516909839164,0.3703689378560723,0.30292745916852093,4,Simulated Annealing
Haaglanden,16,4,96,0.2,0.001,48,1.2650692462921143,0.44609375,0.37237060601252797,0.4426812449631579,0.368648507713689,4,Simulated Annealing
Haaglanden,16,4,64,0.2,0.001,48,1.2615407705307007,0.4578125,0.39642304941971646,0.45400657502703445,0.38788885524790195,4,Simulated Annealing
Haaglanden,16,4,64,0.2,0.0005,48,1.338282823562622,0.42109375,0.38022871415564435,0.4220601964370008,0.35624002223865187,4,Simulated Annealing
Haaglanden,16,4,64,0.2,0.0005,48,1.3002259731292725,0.4421875,0.3929472727341891,0.43738806334890173,0.3885824083844057,4,Simulated Annealing
Haaglanden,16,3,64,0.2,0.0005,48,1.2858357429504395,0.4453125,0.391996842734188,0.4419028883821152,0.381952841158661,4,Simulated Annealing
Haaglanden,16,3,64,0.2,0.0005,32,1.3293840885162354,0.43203125,0.4131445249269109,0.43733687694400636,0.38225962686434606,4,Simulated Annealing
Haaglanden,16,2,64,0.2,0.0005,32,1.2851099967956543,0.46953125,0.4050449373717423,0.4695080172248492,0.4026457076587827,4,Simulated Annealing
Haaglanden,16,3,64,0.2,0.0005,32,1.209441900253296,0.4828125,0.4622528413213095,0.48169022130488176,0.44997838692361614,4,Simulated Annealing
Haaglanden,16,3,64,0.2,0.0005,16,1.239547610282898,0.4734375,0.43612969649429073,0.4690124528947173,0.4301060591947767,4,Simulated Annealing
Haaglanden,16,4,64,0.2,0.0005,16,1.3119418621063232,0.45859375,0.40304721552284395,0.45641114980389486,0.3775216469814336,4,Simulated Annealing
Haaglanden,32,3,64,0.2,0.0005,16,1.250901460647583,0.47421875,0.4443105359552728,0.4696198132899526,0.397203582536802,4,Simulated Annealing
Haaglanden,32,3,64,0.1,0.0005,16,1.1603220701217651,0.50859375,0.49337746915404457,0.5072437552580643,0.4808974227091459,4,Simulated Annealing
Haaglanden,32,3,64,0.2,0.0005,16,1.1621601581573486,0.5109375,0.46853215599887055,0.5064668442941318,0.44718426355316004,4,Simulated Annealing
Haaglanden,16,3,64,0.2,0.0005,16,1.2528024911880493,0.446875,0.39749849833009193,0.44677003008495414,0.3876644850024934,4,Simulated Annealing
Haaglanden,16,3,64,0.2,0.0001,16,1.4041216373443604,0.38828125,0.3255902130812444,0.3914014103759303,0.27366156299109184,4,Simulated Annealing
Haaglanden,16,3,64,0.2,0.0001,16,1.3647804260253906,0.41328125,0.3595050840890358,0.4157125590149313,0.34783184136036593,4,Simulated Annealing
Haaglanden,16,3,32,0.2,0.0001,16,1.4507070779800415,0.36875,0.3252505080664641,0.37136405084817287,0.3092331802270567,4,Simulated Annealing
Haaglanden,32,3,32,0.2,0.0001,16,1.4841666221618652,0.36953125,0.33409476178880343,0.3706759941817052,0.3337203569295416,4,Simulated Annealing
Haaglanden,32,3,32,0.2,0.0001,16,1.4768296480178833,0.3734375,0.3283202526164108,0.37335742653302584,0.3079720496784334,4,Simulated Annealing
Haaglanden,64,3,32,0.2,0.0001,16,1.3546977043151855,0.4109375,0.3677824211855031,0.41024874988851395,0.3465675721796832,4,Simulated Annealing
Haaglanden,64,4,32,0.2,0.0001,16,1.3611843585968018,0.4265625,0.3884620120824377,0.42824013455618826,0.37656926698341514,4,Simulated Annealing
Haaglanden,64,4,64,0.2,0.0001,16,1.3166669607162476,0.42890625,0.3800563229925001,0.4288574083955031,0.3633597264365207,4,Simulated Annealing
Haaglanden,64,4,64,0.2,0.0001,32,1.3292160034179688,0.434375,0.39340989496191436,0.4347956931451346,0.37818146803860275,4,Simulated Annealing
Haaglanden,64,4,64,0.2,0.0001,32,1.3823449611663818,0.4171875,0.3656291050143032,0.41611692202880857,0.3510006920750077,4,Simulated Annealing
Haaglanden,96,4,64,0.2,0.0001,32,1.3726043701171875,0.40625,0.32907175068120365,0.40521688519554716,0.3177761124127711,4,Simulated Annealing
Haaglanden,96,4,64,0.1,0.0001,32,1.3300889730453491,0.4203125,0.3431487261360034,0.4173881722996823,0.33702018689822577,4,Simulated Annealing
Haaglanden,64,4,64,0.1,0.0001,32,1.2886450290679932,0.45078125,0.4130603783031427,0.4512618363490712,0.4046096471207428,4,Simulated Annealing
