dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,16,2,96,0.2,0.0005,32,1.0154870748519897,0.56015625,0.5289119089920793,0.5494584584580191,0.5346314765673078,4,Simulated Annealing
Sleep-EDF,32,2,96,0.2,0.0005,32,0.9376044273376465,0.60078125,0.5804464579185318,0.5876546130292589,0.5758818825162562,4,Simulated Annealing
Sleep-EDF,32,2,96,0.2,0.001,32,1.0453236103057861,0.5515625,0.53798729302673,0.5353294544491038,0.5149256590921844,4,Simulated Annealing
Sleep-EDF,32,2,128,0.2,0.001,32,0.9343347549438477,0.6046875,0.6232861573349936,0.5983541382830714,0.6075292299055841,4,Simulated Annealing
Sleep-EDF,32,2,96,0.2,0.001,32,0.9975436329841614,0.57109375,0.5554796740550249,0.5567808669353311,0.547201240888336,4,Simulated Annealing
Sleep-EDF,32,2,96,0.2,0.001,48,1.1175951957702637,0.54765625,0.5321505653223445,0.5301619633466211,0.4961367507783302,4,Simulated Annealing
Sleep-EDF,64,2,96,0.2,0.001,48,1.017374873161316,0.5546875,0.5868487922683294,0.5396914607367812,0.5287845103497226,4,Simulated Annealing
Sleep-EDF,64,2,64,0.2,0.001,48,1.1880556344985962,0.50703125,0.4917474881018566,0.48800136219894374,0.468599825152356,4,Simulated Annealing
Sleep-EDF,64,2,96,0.2,0.001,32,0.9204419851303101,0.59609375,0.5980968766827764,0.584984327480656,0.5734875762282903,4,Simulated Annealing
Sleep-EDF,64,2,128,0.2,0.001,32,0.9288274049758911,0.57265625,0.5618369763132086,0.5566075711588997,0.5486878786366873,4,Simulated Annealing
Sleep-EDF,64,2,128,0.2,0.001,48,1.0113757848739624,0.5453125,0.5261533533177223,0.5253273217612112,0.5115261098218491,4,Simulated Annealing
Sleep-EDF,64,2,128,0.2,0.005,48,1.1689594984054565,0.5234375,0.534339105373181,0.5194172349137826,0.4710417257835102,4,Simulated Annealing
Sleep-EDF,64,3,128,0.2,0.005,48,1.08743155002594,0.54765625,0.5376681176120659,0.5280316921327212,0.5107414952714133,4,Simulated Annealing
