filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,method
128,4,64,0.4,0.01,64,24.011869430541992,Tabu Search
64,4,64,0.4,0.01,64,23.8308162689209,Tabu Search
128,3,64,0.4,0.01,64,23.362590789794922,Tabu Search
128,5,64,0.4,0.01,64,23.820438385009766,Tabu Search
128,4,32,0.4,0.01,64,23.917530059814453,Tabu Search
128,4,128,0.4,0.01,64,23.759538650512695,Tabu Search
128,4,64,0.3,0.01,64,24.021499633789062,Tabu Search
128,4,64,0.5,0.01,64,23.801210403442383,Tabu Search
128,4,64,0.4,0.005,64,24.245285034179688,Tabu Search
128,4,64,0.4,0.01,32,23.27665138244629,Tabu Search
64,4,64,0.4,0.01,32,23.77914047241211,Tabu Search
128,3,64,0.4,0.01,32,23.76767921447754,Tabu Search
128,5,64,0.4,0.01,32,23.778921127319336,Tabu Search
128,4,32,0.4,0.01,32,23.798368453979492,Tabu Search
128,4,128,0.4,0.01,32,23.681808471679688,Tabu Search
128,4,64,0.3,0.01,32,23.787609100341797,Tabu Search
128,4,64,0.5,0.01,32,23.779752731323242,Tabu Search
128,4,64,0.4,0.005,32,23.77700424194336,Tabu Search
128,4,64,0.4,0.01,16,23.538738250732422,Tabu Search
128,4,64,0.4,0.01,64,24.095016479492188,Tabu Search
64,4,64,0.4,0.01,16,23.668615341186523,Tabu Search
128,3,64,0.4,0.01,16,23.584651947021484,Tabu Search
128,5,64,0.4,0.01,16,23.78144645690918,Tabu Search
128,4,32,0.4,0.01,16,23.7889347076416,Tabu Search
128,4,128,0.4,0.01,16,23.384592056274414,Tabu Search
128,4,64,0.3,0.01,16,23.76241111755371,Tabu Search
128,4,64,0.5,0.01,16,23.710905075073242,Tabu Search
128,4,64,0.4,0.005,16,23.68103790283203,Tabu Search
64,4,128,0.4,0.01,16,23.245271682739258,Tabu Search
128,3,128,0.4,0.01,16,23.202857971191406,Tabu Search
128,5,128,0.4,0.01,16,23.781171798706055,Tabu Search
128,4,128,0.3,0.01,16,23.77886390686035,Tabu Search
128,4,128,0.5,0.01,16,23.686565399169922,Tabu Search
128,4,128,0.4,0.005,16,23.69987678527832,Tabu Search
128,4,128,0.4,0.01,32,23.73529052734375,Tabu Search
64,3,128,0.4,0.01,16,23.50153160095215,Tabu Search
128,2,128,0.4,0.01,16,23.506755828857422,Tabu Search
128,3,64,0.4,0.01,16,23.779216766357422,Tabu Search
128,3,128,0.3,0.01,16,23.127397537231445,Tabu Search
128,3,128,0.5,0.01,16,23.5390625,Tabu Search
128,3,128,0.4,0.005,16,23.117671966552734,Tabu Search
128,3,128,0.4,0.01,32,23.69186019897461,Tabu Search
64,3,128,0.4,0.005,16,23.08427619934082,Tabu Search
128,2,128,0.4,0.005,16,22.671335220336914,Tabu Search
128,4,128,0.4,0.005,16,22.843883514404297,Tabu Search
128,3,64,0.4,0.005,16,23.569547653198242,Tabu Search
128,3,128,0.3,0.005,16,22.983678817749023,Tabu Search
128,3,128,0.5,0.005,16,23.40808868408203,Tabu Search
128,3,128,0.4,0.001,16,23.502483367919922,Tabu Search
128,3,128,0.4,0.005,32,23.69213104248047,Tabu Search
64,2,128,0.4,0.005,16,23.19076919555664,Tabu Search
128,2,64,0.4,0.005,16,23.583812713623047,Tabu Search
128,2,128,0.3,0.005,16,23.2480525970459,Tabu Search
128,2,128,0.5,0.005,16,23.673254013061523,Tabu Search
128,2,128,0.4,0.01,16,23.23131561279297,Tabu Search
128,2,128,0.4,0.001,16,23.523578643798828,Tabu Search
128,2,128,0.4,0.005,32,23.774106979370117,Tabu Search
32,2,128,0.4,0.005,16,23.196626663208008,Tabu Search
64,3,128,0.4,0.005,16,23.383338928222656,Tabu Search
64,2,64,0.4,0.005,16,23.63163948059082,Tabu Search
64,2,128,0.3,0.005,16,23.237075805664062,Tabu Search
64,2,128,0.5,0.005,16,23.184326171875,Tabu Search
64,2,128,0.4,0.01,16,22.785968780517578,Tabu Search
64,2,128,0.4,0.001,16,23.51184844970703,Tabu Search
64,2,128,0.4,0.005,32,23.126211166381836,Tabu Search
32,2,128,0.4,0.01,16,23.029951095581055,Tabu Search
128,2,128,0.4,0.01,16,23.630836486816406,Tabu Search
