dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,128,5,96,0.4,0.0001,32,1.3895606994628906,0.3890625,0.38069945193680754,0.3885705734783179,0.30580758113539896,4,Tabu Search
Haaglanden,96,5,96,0.4,0.0001,32,1.4158867597579956,0.3953125,0.35690566216882,0.39812544492348684,0.3049878121134452,4,Tabu Search
Haaglanden,128,4,96,0.4,0.0001,32,1.3750417232513428,0.384375,0.3151888857307456,0.3845166707348206,0.2958720982397992,4,Tabu Search
Haaglanden,128,5,64,0.4,0.0001,32,1.3943517208099365,0.38203125,0.3433446994512527,0.38536256890216974,0.2851177280932714,4,Tabu Search
Haaglanden,128,5,128,0.4,0.0001,32,1.378086805343628,0.3953125,0.34783639642331754,0.39551411136072867,0.3201925556529635,4,Tabu Search
Haaglanden,128,5,96,0.3,0.0001,32,1.3195602893829346,0.4140625,0.36199265678027476,0.41488694041097707,0.3531408260384787,4,Tabu Search
Haaglanden,128,5,96,0.5,0.0001,32,1.44764244556427,0.3625,0.2964001962671075,0.365581631767147,0.27149939198683404,4,Tabu Search
Haaglanden,128,5,96,0.4,0.0005,32,1.1850215196609497,0.49921875,0.4513669389959256,0.49355964295088184,0.44417190297678655,4,Tabu Search
Haaglanden,128,5,96,0.4,0.0001,16,1.3050057888031006,0.43515625,0.40669105446749976,0.4347083871333902,0.35253731735083094,4,Tabu Search
Haaglanden,128,5,96,0.4,0.0001,48,1.5315417051315308,0.321875,0.270531505570839,0.31639629211237097,0.26199953844404333,4,Tabu Search
Haaglanden,96,5,96,0.4,0.0005,32,1.2309199571609497,0.4734375,0.47110391068332297,0.4711288081640787,0.4277155968187823,4,Tabu Search
Haaglanden,128,4,96,0.4,0.0005,32,1.3495793342590332,0.459375,0.4113371155661284,0.45862219191703313,0.3990402865883535,4,Tabu Search
Haaglanden,128,5,64,0.4,0.0005,32,1.3028090000152588,0.440625,0.4123797105716426,0.4392622201358237,0.379093518307361,4,Tabu Search
Haaglanden,128,5,128,0.4,0.0005,32,1.2709112167358398,0.4703125,0.44837318922546554,0.4725115987259831,0.4164023146661405,4,Tabu Search
Haaglanden,128,5,96,0.3,0.0005,32,1.2071959972381592,0.50546875,0.4615409256600853,0.5024675623282377,0.4549607521910085,4,Tabu Search
Haaglanden,128,5,96,0.5,0.0005,32,1.340794563293457,0.43359375,0.3968980630829794,0.4344305473864907,0.3563612568708914,4,Tabu Search
Haaglanden,128,5,96,0.4,0.0001,32,1.3800451755523682,0.39140625,0.3267468733927073,0.39393681547566317,0.31010147705952,4,Tabu Search
Haaglanden,128,5,96,0.4,0.001,32,1.1567856073379517,0.521875,0.4915047902927493,0.5188122564638192,0.48384606614434456,4,Tabu Search
Haaglanden,128,5,96,0.4,0.0005,16,1.1788880825042725,0.50078125,0.47519416442670215,0.4958662483602863,0.4755709903685304,4,Tabu Search
Haaglanden,128,5,96,0.4,0.0005,48,1.4693505764007568,0.35546875,0.33874834102017315,0.3562482428994291,0.24469287736536213,4,Tabu Search
Haaglanden,96,5,96,0.4,0.001,32,1.2067631483078003,0.48984375,0.438502422368094,0.4851899328904475,0.4228594472851057,4,Tabu Search
Haaglanden,128,4,96,0.4,0.001,32,1.2238144874572754,0.48515625,0.44082275202594756,0.483426540097809,0.4348698393728336,4,Tabu Search
Haaglanden,128,5,64,0.4,0.001,32,1.1513645648956299,0.49296875,0.465591935336953,0.4923212496866318,0.47168323483256164,4,Tabu Search
Haaglanden,128,5,128,0.4,0.001,32,1.179857611656189,0.50234375,0.49509113747574973,0.49827156479221246,0.4826875208401137,4,Tabu Search
Haaglanden,128,5,96,0.3,0.001,32,1.1781623363494873,0.509375,0.5341140438946781,0.5168154589705989,0.5059857585187757,4,Tabu Search
Haaglanden,128,5,96,0.5,0.001,32,1.2142659425735474,0.46953125,0.42457753721898167,0.47149316075386116,0.40855561103745097,4,Tabu Search
Haaglanden,128,5,96,0.4,0.005,32,1.3267594575881958,0.3578125,0.3925355625966265,0.37278743751192606,0.2996331128925592,4,Tabu Search
Haaglanden,128,5,96,0.4,0.001,16,1.1400569677352905,0.50390625,0.49716967699869546,0.5050778645381382,0.4856221040483108,4,Tabu Search
Haaglanden,128,5,96,0.4,0.001,48,1.6540502309799194,0.31953125,0.25489512424594607,0.3217478447803539,0.19992239606669954,3,Tabu Search
Haaglanden,96,5,96,0.4,0.001,16,1.2708150148391724,0.47421875,0.4510529457493475,0.47984981718256475,0.41905001745565407,4,Tabu Search
Haaglanden,128,4,96,0.4,0.001,16,1.1862990856170654,0.49140625,0.4990997378888428,0.4932304204363951,0.4621773871369843,4,Tabu Search
Haaglanden,128,5,64,0.4,0.001,16,1.2752959728240967,0.46640625,0.4300949156279589,0.4624005242130007,0.43184699333395216,4,Tabu Search
Haaglanden,128,5,128,0.4,0.001,16,1.2549707889556885,0.453125,0.4233486725980729,0.4525702454772368,0.402162812124862,4,Tabu Search
Haaglanden,128,5,96,0.3,0.001,16,1.130973219871521,0.52109375,0.4932598933395688,0.5176626530599167,0.4918354825252128,4,Tabu Search
Haaglanden,128,5,96,0.5,0.001,16,1.1358990669250488,0.51015625,0.46750584279950536,0.5039695039406349,0.4519991887765918,4,Tabu Search
Haaglanden,128,5,96,0.4,0.0005,16,1.1362587213516235,0.5328125,0.524807316352635,0.5300803283155486,0.5067338979593317,4,Tabu Search
Haaglanden,128,5,96,0.4,0.005,16,1.4404188394546509,0.37421875,0.3460920764899371,0.3737655172072142,0.33815738526801303,3,Tabu Search
Haaglanden,96,5,96,0.3,0.001,16,1.1418633460998535,0.5015625,0.46827112820899064,0.49845354418594034,0.455445236956185,4,Tabu Search
Haaglanden,128,4,96,0.3,0.001,16,1.1311204433441162,0.53203125,0.5204671326103716,0.525385956344912,0.501465489136695,4,Tabu Search
Haaglanden,128,5,64,0.3,0.001,16,1.1463308334350586,0.49609375,0.5109100976755739,0.4947843416225492,0.4780574030257901,4,Tabu Search
Haaglanden,128,5,128,0.3,0.001,16,1.1855140924453735,0.478125,0.4296227713778212,0.47959344397024833,0.41774911889365596,4,Tabu Search
Haaglanden,128,5,96,0.2,0.001,16,1.1035979986190796,0.52734375,0.49613575020434997,0.5239787049866126,0.48014414893655594,4,Tabu Search
Haaglanden,128,5,96,0.3,0.0005,16,1.1548106670379639,0.5,0.461725884328692,0.4954296199407283,0.4606239089979149,4,Tabu Search
Haaglanden,128,5,96,0.3,0.005,16,1.48268723487854,0.32578125,0.3524898534312892,0.32520993388446634,0.26802727233344426,4,Tabu Search
Haaglanden,128,5,96,0.3,0.001,32,1.1257476806640625,0.525,0.5075522774846001,0.5241446731028757,0.4840709033756846,4,Tabu Search
Haaglanden,96,5,96,0.2,0.001,16,1.1447864770889282,0.5140625,0.47495257893283416,0.5129503996994897,0.4682665678398294,4,Tabu Search
Haaglanden,128,4,96,0.2,0.001,16,1.1544339656829834,0.50546875,0.47262303301591035,0.5019277937766704,0.4414111824865249,4,Tabu Search
Haaglanden,128,5,64,0.2,0.001,16,1.1147156953811646,0.515625,0.5055488370860328,0.5132875788517812,0.5065844488137965,4,Tabu Search
