dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,16,3,64,0.1,0.0001,32,1.0546592473983765,0.5640625,0.5212152183286449,0.5451079052616279,0.5095786615998461,4,Tabu Search
Sleep-EDF,32,3,64,0.1,0.0001,32,1.0594005584716797,0.54921875,0.5111970749951934,0.5370479078201106,0.5056945936326459,4,Tabu Search
Sleep-EDF,16,2,64,0.1,0.0001,32,1.17928946018219,0.48125,0.41493387158360573,0.4625241489136213,0.40060959999767076,4,Tabu Search
Sleep-EDF,16,4,64,0.1,0.0001,32,1.0155723094940186,0.5765625,0.5414350392341565,0.5642676102520201,0.5458927223230364,4,Tabu Search
Sleep-EDF,16,3,32,0.1,0.0001,32,1.3138720989227295,0.44296875,0.35429925034157017,0.4258788546368203,0.348201940791911,4,Tabu Search
Sleep-EDF,16,3,96,0.1,0.0001,32,1.117544412612915,0.53671875,0.481931919737446,0.5163719160046724,0.46692689783920915,4,Tabu Search
Sleep-EDF,16,3,64,0.2,0.0001,32,1.1899453401565552,0.5078125,0.46669162574552486,0.48699966647004456,0.43194803891845696,4,Tabu Search
Sleep-EDF,16,3,64,0.1,0.0005,32,0.93328857421875,0.60234375,0.5762771578919976,0.5874790887106903,0.5759629656546854,4,Tabu Search
Sleep-EDF,16,3,64,0.1,0.0001,16,1.0540621280670166,0.546875,0.5085160883417925,0.5281268218735954,0.49282562841607735,4,Tabu Search
Sleep-EDF,16,3,64,0.1,0.0001,48,1.2275470495224,0.4859375,0.4275381097170919,0.46483604082727903,0.3913515892466056,4,Tabu Search
Sleep-EDF,32,3,64,0.1,0.0005,32,0.8842989802360535,0.61875,0.603646852107854,0.604859947980237,0.5976307301405316,4,Tabu Search
Sleep-EDF,16,2,64,0.1,0.0005,32,1.078460454940796,0.5171875,0.48392327511152056,0.49817993147262174,0.46747106810418215,4,Tabu Search
Sleep-EDF,16,4,64,0.1,0.0005,32,0.9240328669548035,0.59921875,0.5770148568363166,0.5882148603144292,0.5734554735650391,4,Tabu Search
Sleep-EDF,16,3,32,0.1,0.0005,32,0.9577279090881348,0.59375,0.579431272550045,0.5789452278104121,0.5711003469124811,4,Tabu Search
Sleep-EDF,16,3,96,0.1,0.0005,32,0.9037072062492371,0.625,0.6094916410268305,0.6121351105166596,0.607451611273375,4,Tabu Search
Sleep-EDF,16,3,64,0.2,0.0005,32,0.9845259785652161,0.5859375,0.5486706866707565,0.5677973153491696,0.5344201846140593,4,Tabu Search
Sleep-EDF,16,3,64,0.1,0.0001,32,1.0610917806625366,0.5546875,0.5136419376745786,0.539321580950487,0.5186222701019012,4,Tabu Search
Sleep-EDF,16,3,64,0.1,0.001,32,0.9230028986930847,0.60625,0.6227667711122093,0.5963367238860229,0.5953893379256355,4,Tabu Search
Sleep-EDF,16,3,64,0.1,0.0005,16,0.9741148948669434,0.571875,0.5480688176312517,0.55433228816075,0.5365600120495617,4,Tabu Search
Sleep-EDF,16,3,64,0.1,0.0005,48,0.974695086479187,0.578125,0.5794927842552786,0.5685587385865063,0.5656429268625375,4,Tabu Search
Sleep-EDF,64,3,64,0.1,0.0005,32,0.8507198095321655,0.64453125,0.6360130998622078,0.6308349602866312,0.6180005365928614,4,Tabu Search
Sleep-EDF,32,2,64,0.1,0.0005,32,0.9488347768783569,0.6046875,0.5744907199928576,0.5883033481151403,0.5673444971724482,4,Tabu Search
Sleep-EDF,32,4,64,0.1,0.0005,32,0.8919285535812378,0.60859375,0.5947699714404798,0.5939194102499317,0.584918239618539,4,Tabu Search
Sleep-EDF,32,3,32,0.1,0.0005,32,0.9814178347587585,0.5796875,0.5417937905177537,0.5632296056463291,0.5415662570641231,4,Tabu Search
Sleep-EDF,32,3,96,0.1,0.0005,32,0.9514874219894409,0.56875,0.5540928655507757,0.5604152330352618,0.5214258529610835,4,Tabu Search
Sleep-EDF,32,3,64,0.2,0.0005,32,1.0460690259933472,0.55703125,0.5166931040843242,0.541080186591943,0.5088265800278082,4,Tabu Search
Sleep-EDF,32,3,64,0.1,0.0001,32,1.0010459423065186,0.571875,0.5334753975291957,0.5552511821295429,0.5284424770083007,4,Tabu Search
Sleep-EDF,32,3,64,0.1,0.001,32,1.0359797477722168,0.5375,0.5083068059396101,0.52196471495695,0.5004582082215527,4,Tabu Search
Sleep-EDF,32,3,64,0.1,0.0005,16,0.9085260629653931,0.584375,0.5634337535733348,0.5721149697333939,0.5632105075357717,4,Tabu Search
